set,model,subset,rho,p,n_s7,n_total,median_trough_uv
lit,POOLED,all,-0.311012,0.00041515,125,288,-1.27063
lit,whisper-tiny,all,-0.669405,0.00456442,16,48,-1.42579
lit,whisper-base,all,-0.179185,0.558052,13,48,-1.23478
lit,whisper-small,all,-0.829276,0.000131911,15,48,-1.0808
lit,whisper-medium,all,-0.54493,0.00399373,26,48,-1.74574
lit,wav2vec2-medium,all,-0.0978448,0.613596,29,48,-1.19289
lit,wav2vec2-large,all,-0.565166,0.00262556,26,48,-1.64163
lit,POOLED,<= 24 st,-0.311012,0.00041515,125,288,-1.27063
lit,whisper-tiny,<= 24 st,-0.669405,0.00456442,16,48,-1.42579
lit,whisper-base,<= 24 st,-0.179185,0.558052,13,48,-1.23478
lit,whisper-small,<= 24 st,-0.829276,0.000131911,15,48,-1.0808
lit,whisper-medium,<= 24 st,-0.54493,0.00399373,26,48,-1.74574
lit,wav2vec2-medium,<= 24 st,-0.0978448,0.613596,29,48,-1.19289
lit,wav2vec2-large,<= 24 st,-0.565166,0.00262556,26,48,-1.64163
lit_p2,POOLED,all,-0.0962937,0.0025346,981,1812,-1.47361
lit_p2,whisper-tiny,all,-0.0594948,0.483431,141,302,-1.22094
lit_p2,whisper-base,all,-0.267408,0.00171611,135,302,-1.25875
lit_p2,whisper-small,all,-0.396492,1.13203e-06,141,302,-1.15811
lit_p2,whisper-medium,all,-0.0406269,0.587118,181,302,-1.80013
lit_p2,wav2vec2-medium,all,-0.0408472,0.550444,216,302,-1.54751
lit_p2,wav2vec2-large,all,-0.0479855,0.538022,167,302,-2.38763
lit_p2,POOLED,<= 24 st,-0.164811,2.63291e-05,644,1212,-1.39994
lit_p2,whisper-tiny,<= 24 st,-0.0482557,0.653382,89,202,-1.18116
lit_p2,whisper-base,<= 24 st,-0.559903,3.7291e-08,83,202,-1.25118
lit_p2,whisper-small,<= 24 st,-0.292663,0.00441637,93,202,-1.08654
lit_p2,whisper-medium,<= 24 st,-0.24209,0.00746695,121,202,-1.86453
lit_p2,wav2vec2-medium,<= 24 st,-0.0836799,0.322132,142,202,-1.52819
lit_p2,wav2vec2-large,<= 24 st,-0.180856,0.052036,116,202,-2.33192
p2,POOLED,all,-0.0653958,0.0558033,856,1524,-1.49193
p2,whisper-tiny,all,-0.0888814,0.324284,125,254,-1.212
p2,whisper-base,all,-0.206503,0.0224847,122,254,-1.29219
p2,whisper-small,all,-0.39489,4.74336e-06,126,254,-1.15888
p2,whisper-medium,all,0.0180311,0.823779,155,254,-1.83967
p2,wav2vec2-medium,all,0.0615301,0.402838,187,254,-1.5664
p2,wav2vec2-large,all,0.0792108,0.350473,141,254,-2.42543
p2,POOLED,<= 24 st,-0.145221,0.000906642,519,924,-1.46111
p2,whisper-tiny,<= 24 st,-0.041578,0.726893,73,154,-1.14869
p2,whisper-base,<= 24 st,-0.576023,1.81423e-07,70,154,-1.28662
p2,whisper-small,<= 24 st,-0.29333,0.00915005,78,154,-1.08735
p2,whisper-medium,<= 24 st,-0.2017,0.0499848,95,154,-1.97195
p2,wav2vec2-medium,<= 24 st,0.055238,0.561171,113,154,-1.58616
p2,wav2vec2-large,<= 24 st,-0.0153786,0.885608,90,154,-2.43911
lit,POOLED,overlap 4.5-12 st,-0.0887982,0.481798,65,120,-1.35717
lit,whisper-tiny,overlap 4.5-12 st,-0.359559,0.227563,13,20,-1.67669
lit,whisper-base,overlap 4.5-12 st,0.243709,0.470198,11,20,-1.25118
lit,whisper-small,overlap 4.5-12 st,-0.328634,0.387877,9,20,-1.18754
lit,whisper-medium,overlap 4.5-12 st,-0.347619,0.294868,11,20,-2.09268
lit,wav2vec2-medium,overlap 4.5-12 st,-0.37598,0.318647,9,20,-1.35717
lit,wav2vec2-large,overlap 4.5-12 st,-0.0630341,0.845696,12,20,-2.72149
p2,POOLED,overlap 4.5-12 st,-0.0943034,0.196796,189,336,-1.29243
p2,whisper-tiny,overlap 4.5-12 st,-0.211572,0.299477,26,56,-1.15597
p2,whisper-base,overlap 4.5-12 st,-0.10089,0.646922,23,56,-1.05714
p2,whisper-small,overlap 4.5-12 st,-0.347063,0.0557618,31,56,-1.00004
p2,whisper-medium,overlap 4.5-12 st,-0.0858115,0.593719,41,56,-1.75029
p2,wav2vec2-medium,overlap 4.5-12 st,-0.0356854,0.829243,39,56,-1.74432
p2,wav2vec2-large,overlap 4.5-12 st,-0.111919,0.563255,29,56,-2.87733
lit_p2,POOLED,overlap 4.5-12 st,-0.113601,0.0706956,254,456,-1.33557
