set,model,subset,rho,p,n_s7,n_total,median_trough_uv
lit,POOLED,all,-0.239949,8.75232e-05,262,288,-0.71012
lit,whisper-tiny,all,-0.353594,0.0185433,44,48,-0.44568
lit,whisper-base,all,-0.601582,2.51174e-05,42,48,-0.65345
lit,whisper-small,all,-0.385866,0.0088478,45,48,-0.46641
lit,whisper-medium,all,0.0942263,0.533367,46,48,-0.97357
lit,wav2vec2-medium,all,0.02324,0.876777,47,48,-0.89251
lit,wav2vec2-large,all,-0.479246,0.00233283,38,48,-1.14428
lit,POOLED,<= 24 st,-0.239949,8.75232e-05,262,288,-0.71012
lit,whisper-tiny,<= 24 st,-0.353594,0.0185433,44,48,-0.44568
lit,whisper-base,<= 24 st,-0.601582,2.51174e-05,42,48,-0.65345
lit,whisper-small,<= 24 st,-0.385866,0.0088478,45,48,-0.46641
lit,whisper-medium,<= 24 st,0.0942263,0.533367,46,48,-0.97357
lit,wav2vec2-medium,<= 24 st,0.02324,0.876777,47,48,-0.89251
lit,wav2vec2-large,<= 24 st,-0.479246,0.00233283,38,48,-1.14428
lit_p2,POOLED,all,-0.189651,3.48715e-13,1447,1812,-1.07447
lit_p2,whisper-tiny,all,-0.125961,0.0412362,263,302,-0.79831
lit_p2,whisper-base,all,-0.445038,1.83489e-11,207,302,-0.9776
lit_p2,whisper-small,all,-0.412319,7.46441e-11,230,302,-0.92144
lit_p2,whisper-medium,all,-0.0987162,0.120262,249,302,-1.3918
lit_p2,wav2vec2-medium,all,-0.124829,0.0389294,274,302,-1.24063
lit_p2,wav2vec2-large,all,-0.0576011,0.390902,224,302,-1.59712
lit_p2,POOLED,<= 24 st,-0.204808,5.97042e-11,1002,1212,-1.00619
lit_p2,whisper-tiny,<= 24 st,-0.142041,0.0630689,172,202,-0.778035
lit_p2,whisper-base,<= 24 st,-0.599627,3.15338e-15,142,202,-0.864565
lit_p2,whisper-small,<= 24 st,-0.227722,0.00258509,173,202,-0.78881
lit_p2,whisper-medium,<= 24 st,-0.0956264,0.206775,176,202,-1.26395
lit_p2,wav2vec2-medium,<= 24 st,-0.166321,0.0240426,184,202,-1.19871
lit_p2,wav2vec2-large,<= 24 st,-0.177234,0.0273717,155,202,-1.61494
p2,POOLED,all,-0.0930136,0.00134849,1185,1524,-1.13094
p2,whisper-tiny,all,-0.0160202,0.813638,219,254,-0.85526
p2,whisper-base,all,-0.279942,0.000270873,165,254,-1.06234
p2,whisper-small,all,-0.335587,3.01682e-06,185,254,-0.963
p2,whisper-medium,all,-0.0180376,0.798391,203,254,-1.49384
p2,wav2vec2-medium,all,-0.00297219,0.964479,227,254,-1.37525
p2,wav2vec2-large,all,0.036312,0.622681,186,254,-1.75802
p2,POOLED,<= 24 st,-0.101778,0.00558554,740,924,-1.09668
p2,whisper-tiny,<= 24 st,0.0394977,0.658016,128,154,-0.83781
p2,whisper-base,<= 24 st,-0.538199,7.69306e-09,100,154,-1.02153
p2,whisper-small,<= 24 st,-0.0562799,0.528048,128,154,-0.880325
p2,whisper-medium,<= 24 st,-0.0353322,0.689832,130,154,-1.47799
p2,wav2vec2-medium,<= 24 st,-0.0379594,0.659654,137,154,-1.36618
p2,wav2vec2-large,<= 24 st,-0.0564409,0.545559,117,154,-1.81937
lit,POOLED,overlap 4.5-12 st,-0.0507522,0.603654,107,120,-1.0808
lit,whisper-tiny,overlap 4.5-12 st,-0.282726,0.240863,19,20,-1.33687
lit,whisper-base,overlap 4.5-12 st,-0.472425,0.0555052,17,20,-0.90524
lit,whisper-small,overlap 4.5-12 st,-0.16262,0.51911,18,20,-0.83065
lit,whisper-medium,overlap 4.5-12 st,0.289222,0.216162,20,20,-1.03431
lit,wav2vec2-medium,overlap 4.5-12 st,-0.172887,0.466059,20,20,-0.68271
lit,wav2vec2-large,overlap 4.5-12 st,0.198763,0.515056,13,20,-2.71509
p2,POOLED,overlap 4.5-12 st,-0.104669,0.0843058,273,336,-1.03011
p2,whisper-tiny,overlap 4.5-12 st,-0.0936614,0.540559,45,56,-0.84962
p2,whisper-base,overlap 4.5-12 st,-0.222536,0.167529,40,56,-0.89999
p2,whisper-small,overlap 4.5-12 st,-0.314065,0.0315655,47,56,-0.8721
p2,whisper-medium,overlap 4.5-12 st,0.0585837,0.683016,51,56,-1.25806
p2,wav2vec2-medium,overlap 4.5-12 st,-0.111942,0.438951,50,56,-1.42172
p2,wav2vec2-large,overlap 4.5-12 st,-0.0188741,0.907973,40,56,-2.07437
lit_p2,POOLED,overlap 4.5-12 st,-0.0769444,0.134341,380,456,-1.03438
