set,model,n_stimuli,mean_N3,mean_N5,mean_N7,d_N3_to_N5,d_N5_to_N7,d_N3_to_N7,pct_deeper_N3_to_N7,wilcoxon_p_N3_vs_N7
lit,POOLED,130,-1.6915,-1.72398,-1.75351,-0.0324829,-0.0295275,-0.0620103,50,0.278364
lit,whisper-tiny,17,-1.52754,-1.57213,-1.57112,-0.0445909,0.00100206,-0.0435888,76.4706,0.159378
lit,whisper-base,13,-1.09987,-1.07315,-1.11084,0.0267246,-0.0376908,-0.0109662,38.4615,0.946045
lit,whisper-small,15,-1.17159,-1.10295,-1.12164,0.0686413,-0.018696,0.0499453,40,0.302795
lit,whisper-medium,26,-1.87214,-2.19101,-2.3548,-0.318864,-0.163797,-0.482661,76.9231,6.03199e-05
lit,wav2vec2-medium,31,-1.3993,-1.34808,-1.33853,0.0512271,0.00955,0.0607771,35.4839,0.16334
lit,wav2vec2-large,28,-2.50002,-2.43357,-2.40223,0.0664518,0.0313391,0.0977909,35.7143,0.451477
lit_p2,POOLED,1030,-1.74189,-1.81052,-1.78654,-0.0686243,0.0239735,-0.0446507,54.0777,0.00238355
lit_p2,whisper-tiny,144,-1.38592,-1.37585,-1.38824,0.0100632,-0.0123848,-0.0023216,54.8611,0.188428
lit_p2,whisper-base,134,-1.31032,-1.35055,-1.34342,-0.0402262,0.00713507,-0.0330911,52.2388,0.0725709
lit_p2,whisper-small,142,-1.3505,-1.33187,-1.33726,0.0186376,-0.00539366,0.0132439,51.4085,0.413569
lit_p2,whisper-medium,185,-1.90131,-2.01849,-2.04154,-0.117181,-0.0230546,-0.140236,59.4595,0.00269358
lit_p2,wav2vec2-medium,232,-1.57373,-1.62374,-1.62563,-0.050013,-0.00189625,-0.0519092,56.8966,0.100471
lit_p2,wav2vec2-large,193,-2.64443,-2.83152,-2.67094,-0.187082,0.160575,-0.0265072,48.1865,0.703722
p2,POOLED,900,-1.74917,-1.82302,-1.79131,-0.0738447,0.0317014,-0.0421432,54.6667,0.00406591
p2,whisper-tiny,127,-1.36696,-1.34958,-1.36376,0.0173791,-0.0141767,0.00320236,51.9685,0.614194
p2,whisper-base,121,-1.33293,-1.38035,-1.3684,-0.0474193,0.0119511,-0.0354682,53.719,0.0623712
p2,whisper-small,127,-1.37164,-1.3589,-1.36273,0.0127317,-0.00382252,0.00890913,52.7559,0.686037
p2,whisper-medium,159,-1.90608,-1.99028,-1.99032,-0.0842013,-4.01258e-05,-0.0842414,56.6038,0.0922624
p2,wav2vec2-medium,201,-1.60063,-1.66625,-1.66991,-0.0656271,-0.00366159,-0.0692887,60.199,0.0228305
p2,wav2vec2-large,165,-2.66894,-2.89905,-2.71654,-0.230106,0.182506,-0.0476002,50.303,0.497989
