set,model,n_stimuli,mean_N3,mean_N5,mean_N7,d_N3_to_N5,d_N5_to_N7,d_N3_to_N7,pct_deeper_N3_to_N7,wilcoxon_p_N3_vs_N7
lit,POOLED,263,-0.979299,-1.02173,-1.03304,-0.0424295,-0.0113103,-0.0537398,54.3726,0.115768
lit,whisper-tiny,44,-0.78931,-0.798243,-0.809626,-0.00893318,-0.0113836,-0.0203168,59.0909,0.157642
lit,whisper-base,42,-0.604557,-0.596376,-0.607561,0.00818143,-0.011185,-0.00300357,52.381,0.673854
lit,whisper-small,45,-0.560976,-0.551193,-0.565019,0.00978256,-0.0138258,-0.00404322,55.5556,0.560722
lit,whisper-medium,46,-1.09266,-1.35077,-1.48145,-0.258108,-0.130678,-0.388785,82.6087,3.43872e-07
lit,wav2vec2-medium,47,-1.04343,-1.02933,-0.98072,0.0140983,0.0486093,0.0627076,31.9149,0.0430712
lit,wav2vec2-large,39,-1.8689,-1.8776,-1.81748,-0.00870269,0.0601217,0.051419,43.5897,0.476577
lit_p2,POOLED,1481,-1.26376,-1.34546,-1.33755,-0.0817031,0.00791117,-0.073792,54.0851,4.73161e-05
lit_p2,whisper-tiny,264,-0.92603,-0.896202,-0.910579,0.0298287,-0.0143776,0.0154511,50,0.538129
lit_p2,whisper-base,207,-0.971742,-1.00051,-0.986558,-0.0287633,0.0139481,-0.0148152,49.7585,0.570113
lit_p2,whisper-small,229,-0.948888,-0.934167,-0.938401,0.0147209,-0.00423317,0.0104877,48.0349,0.193856
lit_p2,whisper-medium,253,-1.43428,-1.56085,-1.60733,-0.126565,-0.0464786,-0.173043,64.4269,5.6761e-06
lit_p2,wav2vec2-medium,283,-1.30304,-1.37224,-1.37718,-0.0692057,-0.00493546,-0.0741412,58.3039,0.016334
lit_p2,wav2vec2-large,245,-1.94725,-2.2521,-2.14291,-0.30485,0.109184,-0.195665,52.2449,0.0238235
p2,POOLED,1218,-1.32518,-1.41537,-1.4033,-0.0901834,0.0120616,-0.0781218,54.023,0.000188077
p2,whisper-tiny,220,-0.953375,-0.915793,-0.93077,0.0375811,-0.0149764,0.0226047,48.1818,0.150942
p2,whisper-base,165,-1.06521,-1.10338,-1.08303,-0.0381674,0.0203456,-0.0178218,49.0909,0.56189
p2,whisper-small,184,-1.04376,-1.02783,-1.02972,0.0159286,-0.00188715,0.0140414,46.1957,0.0760361
p2,whisper-medium,207,-1.5102,-1.60753,-1.6353,-0.0973328,-0.0277678,-0.125101,60.3865,0.00344246
p2,wav2vec2-medium,236,-1.35474,-1.44054,-1.45614,-0.085796,-0.015599,-0.101395,63.5593,0.000314395
p2,wav2vec2-large,206,-1.96208,-2.323,-2.20452,-0.360916,0.118473,-0.242444,53.8835,0.008233
