set,model,n_pairs,mean_n3,mean_n7,delta_uv,wilcoxon_p,frac_pairs_deeper_at_n7
lit,POOLED,131,-1.68965,-1.75506,-0.065406,0.227799,0.503817
lit,whisper-tiny,17,-1.52754,-1.57112,-0.0435888,0.159378,0.764706
lit,whisper-base,13,-1.09987,-1.11084,-0.0109662,0.946045,0.384615
lit,whisper-small,15,-1.17159,-1.12164,0.0499453,0.302795,0.4
lit,whisper-medium,26,-1.87214,-2.3548,-0.482661,6.03199e-05,0.769231
lit,wav2vec2-medium,31,-1.3993,-1.33853,0.0607771,0.16334,0.354839
lit,wav2vec2-large,29,-2.46379,-2.38685,0.0769417,0.608884,0.37931
lit_p2,POOLED,1040,-1.73659,-1.78554,-0.0489511,0.0021041,0.540385
lit_p2,whisper-tiny,145,-1.38336,-1.38394,-0.000572414,0.242614,0.544828
lit_p2,whisper-base,136,-1.30966,-1.34948,-0.0398212,0.0407379,0.529412
lit_p2,whisper-small,143,-1.34645,-1.3333,0.0131443,0.422527,0.517483
lit_p2,whisper-medium,187,-1.89139,-2.02836,-0.136968,0.00338356,0.588235
lit_p2,wav2vec2-medium,232,-1.57373,-1.62563,-0.0519092,0.100471,0.568966
lit_p2,wav2vec2-large,197,-2.61939,-2.66829,-0.0489041,0.591925,0.482234
p2,POOLED,909,-1.74336,-1.78994,-0.0465797,0.00414349,0.545655
p2,whisper-tiny,128,-1.36422,-1.35908,0.0051407,0.723972,0.515625
p2,whisper-base,123,-1.33183,-1.37471,-0.0428709,0.0337785,0.544715
p2,whisper-small,128,-1.36694,-1.35811,0.00883168,0.698284,0.53125
p2,whisper-medium,161,-1.8945,-1.97564,-0.0811418,0.106434,0.559006
p2,wav2vec2-medium,201,-1.60063,-1.66991,-0.0692887,0.0228305,0.60199
p2,wav2vec2-large,168,-2.64625,-2.71688,-0.0706275,0.444294,0.5
