set,model,n_pairs,mean_n3,mean_n7,delta_uv,wilcoxon_p,frac_pairs_deeper_at_n7
lit,POOLED,263,-0.979299,-1.03304,-0.0537398,0.115768,0.543726
lit,whisper-tiny,44,-0.78931,-0.809626,-0.0203168,0.157642,0.590909
lit,whisper-base,42,-0.604557,-0.607561,-0.00300357,0.673854,0.52381
lit,whisper-small,45,-0.560976,-0.565019,-0.00404322,0.560722,0.555556
lit,whisper-medium,46,-1.09266,-1.48145,-0.388785,3.43872e-07,0.826087
lit,wav2vec2-medium,47,-1.04343,-0.98072,0.0627076,0.0430712,0.319149
lit,wav2vec2-large,39,-1.8689,-1.81748,0.051419,0.476577,0.435897
lit_p2,POOLED,1492,-1.25796,-1.33785,-0.0798844,2.20567e-05,0.541555
lit_p2,whisper-tiny,264,-0.92603,-0.910579,0.0154511,0.538129,0.5
lit_p2,whisper-base,209,-0.974551,-0.993921,-0.0193695,0.428215,0.502392
lit_p2,whisper-small,229,-0.948888,-0.938401,0.0104877,0.193856,0.480349
lit_p2,whisper-medium,254,-1.42885,-1.60119,-0.172343,5.59216e-06,0.641732
lit_p2,wav2vec2-medium,283,-1.30304,-1.37718,-0.0741412,0.016334,0.583039
lit_p2,wav2vec2-large,253,-1.89622,-2.12097,-0.224755,0.0117824,0.525692
p2,POOLED,1229,-1.31759,-1.40307,-0.0854792,8.65256e-05,0.54109
p2,whisper-tiny,220,-0.953375,-0.93077,0.0226047,0.150942,0.481818
p2,whisper-base,167,-1.0676,-1.09109,-0.0234855,0.406907,0.497006
p2,whisper-small,184,-1.04376,-1.02972,0.0140414,0.0760361,0.461957
p2,whisper-medium,208,-1.5032,-1.62767,-0.124476,0.00342047,0.600962
p2,wav2vec2-medium,236,-1.35474,-1.45614,-0.101395,0.000314395,0.635593
p2,wav2vec2-large,214,-1.90119,-2.17628,-0.275085,0.0036723,0.542056
