set,model,unit,rho,p,n,n_s7,n_trials,s7_rate,median_trough_uv
lit,POOLED,cell,-0.0638277,0.185456,432,1882,4320,0.435648,-1.26038
lit,whisper-tiny,cell,-0.0443695,0.75479,52,239,720,0.331944,-1.37305
lit,whisper-base,cell,-0.0960093,0.555643,40,192,720,0.266667,-1.18575
lit,whisper-small,cell,0.113876,0.451121,46,230,720,0.319444,-1.04312
lit,whisper-medium,cell,-0.161653,0.130167,89,383,720,0.531944,-1.64075
lit,wav2vec2-medium,cell,0.0138352,0.889139,104,434,720,0.602778,-1.17496
lit,wav2vec2-large,cell,-0.0934307,0.352726,101,404,720,0.561111,-1.44928
lit,POOLED,trial,-0.0671646,0.00355581,1882,1882,4320,0.435648,-1.31652
lit,whisper-tiny,trial,0.0257774,0.691747,239,239,720,0.331944,-1.48023
lit,whisper-base,trial,-0.0183631,0.800418,192,192,720,0.266667,-1.20343
lit,whisper-small,trial,0.115702,0.0799394,230,230,720,0.319444,-1.04217
lit,whisper-medium,trial,-0.189971,0.000184188,383,383,720,0.531944,-1.65063
lit,wav2vec2-medium,trial,0.00738409,0.878092,434,434,720,0.602778,-1.26916
lit,wav2vec2-large,trial,-0.128891,0.00950121,404,404,720,0.561111,-1.74688
lit_p2,POOLED,cell,-0.0152463,0.378401,3340,14877,27180,0.547351,-1.45042
lit_p2,whisper-tiny,cell,0.0115873,0.806357,450,2129,4530,0.469978,-1.20484
lit_p2,whisper-base,cell,-0.0217473,0.657131,419,2028,4530,0.447682,-1.21918
lit_p2,whisper-small,cell,0.0223607,0.640717,438,2107,4530,0.465121,-1.12418
lit_p2,whisper-medium,cell,-0.0155087,0.701326,614,2739,4530,0.604636,-1.71822
lit_p2,wav2vec2-medium,cell,-0.0384475,0.294946,744,3248,4530,0.716998,-1.518
lit_p2,wav2vec2-large,cell,-0.0201389,0.601457,675,2626,4530,0.579691,-2.15313
lit_p2,POOLED,trial,-0.010155,0.215514,14877,14877,27180,0.547351,-1.48854
lit_p2,whisper-tiny,trial,0.0142501,0.511078,2129,2129,4530,0.469978,-1.23799
lit_p2,whisper-base,trial,-0.000242796,0.991282,2028,2028,4530,0.447682,-1.23184
lit_p2,whisper-small,trial,0.0246106,0.258822,2107,2107,4530,0.465121,-1.13663
lit_p2,whisper-medium,trial,0.00365195,0.848494,2739,2739,4530,0.604636,-1.79024
lit_p2,wav2vec2-medium,trial,-0.030301,0.0842354,3248,3248,4530,0.716998,-1.57459
lit_p2,wav2vec2-large,trial,-0.00645302,0.741001,2626,2626,4530,0.579691,-2.33785
p2,POOLED,cell,-0.00581539,0.753925,2908,12995,22860,0.56846,-1.49462
p2,whisper-tiny,cell,0.02362,0.638497,398,1890,3810,0.496063,-1.18426
p2,whisper-base,cell,-0.0195938,0.703777,379,1836,3810,0.48189,-1.23133
p2,whisper-small,cell,0.0189389,0.708548,392,1877,3810,0.492651,-1.1352
p2,whisper-medium,cell,0.00477234,0.913133,525,2356,3810,0.618373,-1.76161
p2,wav2vec2-medium,cell,-0.0402194,0.309676,640,2814,3810,0.738583,-1.5663
p2,wav2vec2-large,cell,-0.00316242,0.939736,574,2222,3810,0.583202,-2.20143
p2,POOLED,trial,-0.00063259,0.942518,12995,12995,22860,0.56846,-1.52088
p2,whisper-tiny,trial,0.0163367,0.477827,1890,1890,3810,0.496063,-1.21421
p2,whisper-base,trial,-0.00459775,0.843926,1836,1836,3810,0.48189,-1.25997
p2,whisper-small,trial,0.0206248,0.371827,1877,1877,3810,0.492651,-1.15335
p2,whisper-medium,trial,0.0307415,0.135775,2356,2356,3810,0.618373,-1.81605
p2,wav2vec2-medium,trial,-0.0275926,0.143375,2814,2814,3810,0.738583,-1.60286
p2,wav2vec2-large,trial,0.0193591,0.361704,2222,2222,3810,0.583202,-2.45086
