set,model,unit,rho,p,n,n_pass,n_trials,pass_rate,median_trough_uv
lit,POOLED,cell,-0.0230821,0.513395,804,3925,4320,0.908565,-0.724885
lit,whisper-tiny,cell,0.0156722,0.856296,136,671,720,0.931944,-0.451095
lit,whisper-base,cell,-0.0296373,0.739821,128,629,720,0.873611,-0.63822
lit,whisper-small,cell,0.00514362,0.952609,136,674,720,0.936111,-0.48357
lit,whisper-medium,cell,-0.166867,0.0504469,138,673,720,0.934722,-0.935922
lit,wav2vec2-medium,cell,0.0601809,0.478393,141,698,720,0.969444,-0.91408
lit,wav2vec2-large,cell,-0.054877,0.543295,125,580,720,0.805556,-1.15556
lit,POOLED,trial,-0.0317713,0.046554,3925,3925,4320,0.908565,-0.72604
lit,whisper-tiny,trial,0.0079065,0.838019,671,671,720,0.931944,-0.46799
lit,whisper-base,trial,-0.0317635,0.426474,629,629,720,0.873611,-0.65191
lit,whisper-small,trial,0.00554758,0.885692,674,674,720,0.936111,-0.491055
lit,whisper-medium,trial,-0.160018,3.04033e-05,673,673,720,0.934722,-0.94894
lit,wav2vec2-medium,trial,0.037503,0.322472,698,698,720,0.969444,-0.956535
lit,wav2vec2-large,trial,-0.0807748,0.0518598,580,580,720,0.805556,-1.19439
lit_p2,POOLED,cell,-0.0390604,0.00790468,4623,21743,27180,0.799963,-1.07361
lit_p2,whisper-tiny,cell,0.0122088,0.727827,815,3989,4530,0.880574,-0.78215
lit_p2,whisper-base,cell,-0.0192413,0.626254,643,3119,4530,0.688521,-0.9574
lit_p2,whisper-small,cell,-0.0142085,0.707061,702,3432,4530,0.757616,-0.923505
lit_p2,whisper-medium,cell,-0.058576,0.10123,784,3657,4530,0.807285,-1.29879
lit_p2,wav2vec2-medium,cell,-0.0366508,0.278551,876,4137,4530,0.913245,-1.30881
lit_p2,wav2vec2-large,cell,-0.0813288,0.0211742,803,3409,4530,0.752539,-1.75428
lit_p2,POOLED,trial,-0.0368066,5.67201e-08,21743,21743,27180,0.799963,-1.0903
lit_p2,whisper-tiny,trial,0.00361864,0.819276,3989,3989,4530,0.880574,-0.79491
lit_p2,whisper-base,trial,-0.0253271,0.157324,3119,3119,4530,0.688521,-0.97431
lit_p2,whisper-small,trial,-0.00959145,0.574316,3432,3432,4530,0.757616,-0.9242
lit_p2,whisper-medium,trial,-0.0540243,0.00108199,3657,3657,4530,0.807285,-1.3837
lit_p2,wav2vec2-medium,trial,-0.0349541,0.0245608,4137,4137,4530,0.913245,-1.33422
lit_p2,wav2vec2-large,trial,-0.0609358,0.000371084,3409,3409,4530,0.752539,-1.86052
p2,POOLED,cell,-0.0408005,0.0116817,3819,17818,22860,0.77944,-1.13417
p2,whisper-tiny,cell,0.0128229,0.738733,679,3318,3810,0.870866,-0.82624
p2,whisper-base,cell,-0.0214256,0.627606,515,2490,3810,0.653543,-1.05362
p2,whisper-small,cell,-0.0246702,0.558067,566,2758,3810,0.723885,-0.9588
p2,whisper-medium,cell,-0.0356677,0.365422,646,2984,3810,0.783202,-1.37296
p2,wav2vec2-medium,cell,-0.0507182,0.169578,735,3439,3810,0.902625,-1.40748
p2,wav2vec2-large,cell,-0.0821239,0.0325131,678,2829,3810,0.74252,-1.85196
p2,POOLED,trial,-0.0364108,1.16483e-06,17818,17818,22860,0.77944,-1.15836
p2,whisper-tiny,trial,0.00323998,0.852006,3318,3318,3810,0.870866,-0.87172
p2,whisper-base,trial,-0.0300049,0.134439,2490,2490,3810,0.653543,-1.06051
p2,whisper-small,trial,-0.0201394,0.290383,2758,2758,3810,0.723885,-0.97343
p2,whisper-medium,trial,-0.0287473,0.116411,2984,2984,3810,0.783202,-1.48936
p2,wav2vec2-medium,trial,-0.0434722,0.0107841,3439,3439,3810,0.902625,-1.42665
p2,wav2vec2-large,trial,-0.0525419,0.005185,2829,2829,3810,0.74252,-1.99993
