rank,method,stimulus,n_agree,mean_uv,mean_uv_all6,median_uv_all6,max_uv_all6,min_uv_all6,models_not_agreeing
1,method_20,1000 → 1850 Hz,5,-1.365,-1.581,-1.41,-0.8,-2.66,wav2vec2-large
2,method_21,1000 → 1850 Hz,5,-1.348,-1.579,-1.413,-0.808,-2.735,wav2vec2-large
3,method_19_counter,1850 → 1000 Hz,4,-3.27,-2.164,-1.266,0.777,-7.902,"whisper-medium, wav2vec2-medium"
4,method_17_counter,1850 → 1000 Hz,4,-3.147,-2.102,-1.25,0.621,-7.456,"whisper-medium, wav2vec2-medium"
5,method_18_counter,1850 → 1000 Hz,4,-3.132,-2.098,-1.255,0.625,-7.377,"whisper-medium, wav2vec2-medium"
6,method_60,1000 → 1500 Hz,4,-1.968,-1.35,-1.187,0.102,-3.404,"whisper-tiny, whisper-base"
7,method_75,1000 → 1200 Hz,4,-1.128,-0.862,-0.881,0.024,-1.773,"whisper-base, whisper-small"
8,method_72,1000 → 1200 Hz,4,-1.115,-0.854,-0.848,0.022,-1.784,"whisper-base, whisper-small"
9,method_60_counter,1500 → 1000 Hz,3,-2.216,-1.303,-0.809,-0.165,-3.119,"whisper-small, whisper-medium, wav2vec2-medium"
10,method_17,1000 → 1850 Hz,3,-2.01,-1.029,-0.805,0.443,-2.546,"whisper-tiny, whisper-small, wav2vec2-medium"
11,method_18,1000 → 1850 Hz,3,-1.994,-1.022,-0.808,0.431,-2.715,"whisper-tiny, whisper-small, wav2vec2-medium"
12,method_53_counter,1200 → 1000 Hz,3,-1.971,-1.306,-0.797,-0.584,-4.035,"whisper-tiny, whisper-base, whisper-medium"
13,method_19,1000 → 1850 Hz,3,-1.915,-0.991,-0.813,0.414,-2.476,"whisper-tiny, whisper-small, wav2vec2-medium"
14,method_9,600 → 1000 Hz,3,-1.733,-0.902,-0.829,0.387,-2.728,"whisper-tiny, whisper-base, wav2vec2-medium"
15,method_55_counter,2000 → 1000 Hz,3,-1.663,-1.556,-1.41,0.08,-3.761,"whisper-small, whisper-medium, wav2vec2-large"
16,method_21_counter,1850 → 1000 Hz,3,-1.537,-0.953,-0.889,-0.208,-1.677,"whisper-base, whisper-small, whisper-medium"
17,method_20_counter,1850 → 1000 Hz,3,-1.53,-0.977,-0.93,-0.2,-1.682,"whisper-base, whisper-small, whisper-medium"
18,method_44,633 → 1000 Hz,3,-1.457,-0.709,-0.573,0.318,-2.279,"whisper-base, wav2vec2-medium, wav2vec2-large"
19,method_55,1000 → 2000 Hz,3,-1.356,-0.878,-0.93,-0.262,-1.513,"whisper-medium, wav2vec2-medium, wav2vec2-large"
20,method_30_counter,1200 → 1000 Hz,3,-1.162,-0.859,-0.843,-0.415,-1.261,"whisper-tiny, whisper-base, whisper-medium"
21,method_29_counter,1200 → 1000 Hz,3,-1.13,-0.848,-0.838,-0.418,-1.221,"whisper-tiny, whisper-base, whisper-medium"
22,method_74,1000 → 1500 Hz,3,-1.112,-0.484,-0.491,0.277,-1.22,"whisper-tiny, whisper-base, whisper-small"
23,method_31_counter,1200 → 1000 Hz,3,-1.102,-0.833,-0.843,-0.424,-1.192,"whisper-tiny, whisper-base, whisper-medium"
24,method_28_counter,1200 → 1000 Hz,3,-1.088,-0.822,-0.84,-0.42,-1.193,"whisper-tiny, whisper-base, whisper-medium"
25,method_32_counter,1200 → 1000 Hz,3,-1.07,-0.818,-0.838,-0.421,-1.181,"whisper-tiny, whisper-base, whisper-medium"
26,method_43,633 → 700 Hz,2,-5.361,-1.838,-0.321,0.267,-9.609,"whisper-tiny, whisper-base, whisper-small, wav2vec2-medium"
27,method_44_counter,1000 → 633 Hz,2,-3.658,-1.376,-0.677,0.88,-5.686,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
28,method_31,1000 → 1200 Hz,2,-1.812,-0.829,-0.474,-0.19,-1.864,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
29,method_28,1000 → 1200 Hz,2,-1.804,-0.83,-0.484,-0.194,-1.875,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
30,method_29,1000 → 1200 Hz,2,-1.801,-0.845,-0.526,-0.202,-1.902,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
31,method_30,1000 → 1200 Hz,2,-1.785,-0.84,-0.534,-0.194,-1.874,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
32,method_32,1000 → 1200 Hz,2,-1.773,-0.832,-0.518,-0.196,-1.868,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
33,method_33_counter,1200 → 1000 Hz,2,-1.766,-0.61,-0.264,0.365,-2.595,"whisper-tiny, whisper-base, whisper-small, wav2vec2-medium"
34,method_53,1000 → 1200 Hz,2,-1.645,-0.752,-0.502,-0.058,-2.193,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
35,method_27,1000 → 1064 Hz,2,-1.541,-0.849,-0.811,0.041,-2.082,"whisper-tiny, whisper-base, whisper-small, whisper-medium"
36,method_33,1000 → 1200 Hz,2,-1.435,-0.825,-0.67,-0.297,-2.081,"whisper-tiny, whisper-small, whisper-medium, wav2vec2-large"
37,method_12_counter,1200 → 1000 Hz,2,-1.341,-0.481,-0.225,0.156,-1.877,"whisper-tiny, whisper-small, whisper-medium, wav2vec2-large"
38,method_9_counter,1000 → 600 Hz,2,-1.156,0.106,-0.366,3.674,-1.357,"whisper-base, whisper-small, whisper-medium, wav2vec2-large"
39,method_74_counter,1500 → 1000 Hz,2,-1.145,-0.551,-0.457,-0.038,-1.251,"whisper-base, whisper-small, wav2vec2-medium, wav2vec2-large"
40,method_12,1000 → 1200 Hz,2,-1.031,-0.458,-0.389,0.356,-1.277,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
41,method_37,1000 → 1050 Hz,2,-0.961,-0.476,-0.269,-0.188,-1.145,"whisper-tiny, whisper-base, whisper-small, wav2vec2-medium"
42,method_10,1000 → 1122 Hz,2,-0.941,-0.32,-0.13,0.191,-1.097,"whisper-base, whisper-small, wav2vec2-medium, wav2vec2-large"
43,method_37_counter,1050 → 1000 Hz,2,-0.935,-0.557,-0.528,-0.057,-0.981,"whisper-tiny, whisper-base, whisper-small, wav2vec2-large"
44,method_10_counter,1122 → 1000 Hz,1,-1.987,-0.78,-0.592,-0.387,-1.987,"whisper-tiny, whisper-base, whisper-small, whisper-medium, wav2vec2-medium"
45,method_27_counter,1064 → 1000 Hz,1,-0.966,0.063,0.034,1.282,-0.966,"whisper-tiny, whisper-base, whisper-small, wav2vec2-medium, wav2vec2-large"
46,method_75_counter,1200 → 1000 Hz,1,-0.906,-0.345,-0.283,0.102,-0.906,"whisper-tiny, whisper-base, whisper-small, whisper-medium, wav2vec2-medium"
47,method_72_counter,1200 → 1000 Hz,1,-0.82,-0.34,-0.27,0.107,-0.82,"whisper-tiny, whisper-base, whisper-small, whisper-medium, wav2vec2-large"
48,method_43_counter,700 → 633 Hz,0,,-0.126,-0.383,1.387,-0.582,"whisper-tiny, whisper-base, whisper-small, whisper-medium, wav2vec2-medium, wav2vec2-large"
