n_agree_min,mean_uv_max,directions,pairs,chf
1,-3.5,24,24,31.8
1,-3.25,40,40,53.0
1,-3.0,64,64,84.8
1,-2.75,106,106,140.45
1,-2.5,170,167,221.275
1,-2.25,276,265,351.125
1,-2.0,455,408,540.6
1,-1.75,744,608,805.6
1,-1.5,1066,773,1024.225
1,-1.25,1424,871,1154.075
1,-1.0,1681,900,1192.5
1,-0.75,1771,903,1196.475
1,-0.5,1771,903,1196.475
1,-0.25,1771,903,1196.475
1,-0.0,1771,903,1196.475
2,-3.5,16,16,21.2
2,-3.25,28,28,37.1
2,-3.0,50,50,66.25
2,-2.75,86,86,113.95
2,-2.5,141,138,182.85
2,-2.25,233,222,294.15
2,-2.0,395,358,474.35
2,-1.75,651,543,719.475
2,-1.5,945,709,939.425
2,-1.25,1262,824,1091.8
2,-1.0,1475,874,1158.05
2,-0.75,1522,886,1173.95
2,-0.5,1522,886,1173.95
2,-0.25,1522,886,1173.95
2,-0.0,1522,886,1173.95
3,-3.5,8,8,10.6
3,-3.25,11,11,14.575
3,-3.0,22,22,29.15
3,-2.75,43,43,56.975
3,-2.5,79,79,104.675
3,-2.25,132,127,168.275
3,-2.0,243,225,298.125
3,-1.75,415,364,482.3
3,-1.5,617,514,681.05
3,-1.25,822,640,848.0
3,-1.0,942,710,940.75
3,-0.75,960,720,954.0
3,-0.5,960,720,954.0
3,-0.25,960,720,954.0
3,-0.0,960,720,954.0
4,-3.5,2,2,2.65
4,-3.25,3,3,3.975
4,-3.0,6,6,7.95
4,-2.75,15,15,19.875
4,-2.5,25,25,33.125
4,-2.25,53,53,70.225
4,-2.0,102,102,135.15
4,-1.75,178,173,229.225
4,-1.5,280,262,347.15
4,-1.25,377,348,461.1
4,-1.0,418,386,511.45
4,-0.75,420,387,512.775
4,-0.5,420,387,512.775
4,-0.25,420,387,512.775
4,-0.0,420,387,512.775
5,-3.5,1,1,1.325
5,-3.25,1,1,1.325
5,-3.0,3,3,3.975
5,-2.75,5,5,6.625
5,-2.5,9,9,11.925
5,-2.25,17,17,22.525
5,-2.0,39,39,51.675
5,-1.75,67,67,88.775
5,-1.5,93,92,121.9
5,-1.25,122,120,159.0
5,-1.0,130,127,168.275
5,-0.75,131,127,168.275
5,-0.5,131,127,168.275
5,-0.25,131,127,168.275
5,-0.0,131,127,168.275
6,-3.5,0,0,0.0
6,-3.25,0,0,0.0
6,-3.0,1,1,1.325
6,-2.75,1,1,1.325
6,-2.5,2,2,2.65
6,-2.25,3,3,3.975
6,-2.0,7,7,9.275
6,-1.75,10,10,13.25
6,-1.5,13,13,17.225
6,-1.25,16,16,21.2
6,-1.0,17,17,22.525
6,-0.75,17,17,22.525
6,-0.5,17,17,22.525
6,-0.25,17,17,22.525
6,-0.0,17,17,22.525
