pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1001,1,-1.0456,2,-1.549,2,1,1
1002,0,,2,-1.4223,2,0,2
1003,1,-1.7196,2,-1.7302,2,1,1
1004,1,-1.759,3,-1.974,3,1,2
1005,2,-1.4462,4,-1.8703,4,2,2
1006,3,-1.1038,4,-2.1546,4,3,1
1007,2,-1.356,3,-2.1016,3,2,1
1008,2,-1.5781,2,-2.1789,2,2,0
1009,2,-1.2865,2,-3.3395,2,2,0
1010,3,-1.3521,3,-2.9328,3,3,0
1011,2,-1.3754,3,-2.1645,3,2,1
1012,2,-1.1236,3,-1.8951,3,2,1
1013,2,-1.3516,3,-1.1686,3,2,1
1014,2,-1.3949,1,-1.0722,2,1,1
1015,2,-1.4541,2,-1.4943,2,2,0
1016,1,-1.9886,2,-1.8906,2,1,1
1017,1,-1.4954,3,-1.3858,3,1,2
1018,1,-0.8756,2,-1.7595,2,1,1
1019,2,-2.1126,4,-1.4689,4,2,2
1020,4,-1.5776,3,-1.4165,4,3,1
1021,4,-1.607,2,-1.3629,4,2,2
1022,3,-1.5814,3,-2.1254,3,3,0
1023,3,-1.9753,4,-1.6714,4,3,1
1024,2,-1.2315,6,-1.6074,6,2,4
1025,3,-1.1491,4,-1.4242,4,3,1
1026,2,-1.176,3,-1.5323,3,2,1
1027,3,-1.8209,2,-1.2125,3,2,1
1028,4,-1.9481,3,-1.245,4,3,1
1029,3,-1.3021,3,-1.2999,3,3,0
1030,4,-1.6047,4,-1.0536,4,4,0
1031,2,-1.9164,3,-1.8429,3,2,1
1032,5,-2.6257,4,-1.2918,5,4,1
1033,2,-2.3342,3,-1.2494,3,2,1
1034,3,-1.2469,5,-1.7446,5,3,2
1035,3,-1.3884,3,-2.169,3,3,0
1036,3,-2.0164,4,-2.3601,4,3,1
1037,3,-1.6725,2,-1.3136,3,2,1
1038,2,-1.9204,3,-1.9944,3,2,1
1039,3,-1.4108,3,-1.3115,3,3,0
