hz,n_as_standard,mean_n_agree_as_standard,mean_uv_all6_as_standard,n_as_deviant,mean_n_agree_as_deviant,mean_uv_all6_as_deviant,n_instances
200,42,2.4762,-0.5098,42,2.9286,-0.8851,84
218,42,2.5238,-0.5622,42,2.6429,-0.7894,84
238,42,2.6905,-0.7541,42,2.619,-0.7142,84
259,42,2.381,-0.5556,42,2.5476,-0.6245,84
283,42,2.5952,-0.8568,42,2.3095,-0.4368,84
308,42,2.4524,-0.8548,42,2.2857,-0.3898,84
336,42,2.1905,-0.7354,42,2.0476,-0.2614,84
367,42,1.881,-0.4971,42,2.2619,-0.2976,84
400,42,2.1667,-0.5854,42,3.2143,-0.6431,84
436,42,2.8095,-0.9317,42,2.381,-0.3907,84
476,42,2.7381,-0.7985,42,2.7857,-0.5464,84
519,42,2.8571,-0.8141,42,2.5238,-0.5695,84
566,42,2.6429,-0.7239,42,2.7143,-0.5712,84
617,42,2.2857,-0.6069,42,2.3571,-0.6232,84
673,42,2.619,-0.8395,42,2.4048,-0.5757,84
734,42,2.4286,-0.8284,42,2.4048,-0.5639,84
800,42,3.2619,-1.1152,42,2.4286,-0.5071,84
872,42,3.4762,-1.0774,42,1.9048,-0.2631,84
951,42,3.4762,-1.079,42,2.0714,-0.4159,84
1037,42,2.4762,-0.7955,42,2.6905,-0.7353,84
1131,42,2.1667,-0.4178,42,2.7143,-0.7861,84
1234,42,2.1905,-0.3841,42,3.3333,-1.0449,84
1345,42,3.5238,-1.2106,42,2.9762,-0.8219,84
1467,42,3.3571,-1.0324,42,2.6429,-0.7545,84
1600,42,4.0714,-1.4145,42,2.119,-0.4228,84
1745,42,3.8095,-1.5053,42,2.0476,-0.2873,84
1903,42,2.9048,-0.7153,42,2.1667,-0.5343,84
2075,42,2.8095,-0.4466,42,2.4762,-0.7702,84
2263,42,3.119,-0.8571,42,2.9048,-1.1053,84
2468,42,1.9524,-0.2977,42,3.119,-1.0289,84
2691,42,2.5,-0.558,42,2.7619,-0.9237,84
2934,42,3.0238,-0.3403,42,2.5476,-0.9108,84
3200,42,2.7619,-0.3827,42,3.3095,-1.4306,84
3490,42,2.5952,-0.5689,42,2.2619,-0.8255,84
3805,42,3.4286,-0.7909,42,2.3571,-0.6598,84
4150,42,3.7381,-1.1151,42,2.5,-0.8884,84
4525,42,3.3333,-1.1422,42,2.4762,-0.6906,84
4935,42,1.619,-0.1884,42,3.3095,-0.9852,84
5382,42,2.1429,-0.6505,42,2.9048,-0.7591,84
5869,42,1.7857,-0.4433,42,3.119,-0.8713,84
6400,42,1.7381,-0.5276,42,3.0476,-1.0852,84
6979,42,1.381,-0.2508,42,3.619,-1.0409,84
7611,42,2.4048,-0.4381,42,4.5476,-1.7685,84
