rank,method,phase2_rank,stimulus,n_agree,mean_uv,mean_uv_all6,median_uv_all6,max_uv_all6,min_uv_all6,models_not_agreeing
1,method_1767,94,1745 → 7611 Hz,6,-3.183,-3.183,-2.434,-0.996,-7.457,
2,method_1783,29,1903 → 7611 Hz,6,-2.514,-2.514,-2.369,-1.582,-3.724,
3,method_1750,2,1600 → 7611 Hz,6,-2.273,-2.273,-2.478,-0.797,-2.886,
4,method_1882,5,4150 → 7611 Hz,6,-2.223,-2.223,-1.973,-1.28,-3.671,
5,method_1812,1,2263 → 7611 Hz,6,-2.137,-2.137,-1.917,-1.443,-3.324,
6,method_1627,3,951 → 7611 Hz,6,-2.053,-2.053,-1.95,-1.062,-3.034,
7,method_1603,4,872 → 7611 Hz,6,-2.027,-2.027,-1.864,-1.084,-3.248,
8,method_1066_counter,8,1745 → 218 Hz,6,-1.987,-1.987,-1.399,-0.904,-3.658,
9,method_1807,42,2263 → 4935 Hz,6,-1.869,-1.869,-1.216,-0.895,-4.855,
10,method_1881,31,4150 → 6979 Hz,6,-1.822,-1.822,-1.188,-0.764,-4.926,
11,method_1766,7,1745 → 6979 Hz,6,-1.697,-1.697,-1.502,-0.914,-3.3,
12,method_1525,6,673 → 7611 Hz,6,-1.644,-1.644,-1.364,-1.049,-3.02,
13,method_1024_counter,51,1600 → 200 Hz,6,-1.607,-1.607,-1.445,-0.87,-2.815,
14,method_1809,9,2263 → 5869 Hz,6,-1.389,-1.389,-1.287,-0.847,-2.351,
15,method_1318_counter,87,951 → 400 Hz,6,-1.358,-1.358,-1.269,-1.014,-1.717,
16,method_1042,74,200 → 7611 Hz,6,-1.322,-1.322,-1.213,-0.765,-2.25,
17,method_1106_counter,88,1745 → 238 Hz,6,-1.201,-1.201,-1.123,-1.017,-1.635,
18,method_1740,10,1600 → 3200 Hz,5,-3.995,-3.438,-1.973,-0.655,-10.813,whisper-tiny
19,method_1515,15,673 → 3200 Hz,5,-3.201,-2.678,-1.574,-0.066,-9.677,whisper-base
20,method_1762,12,1745 → 4935 Hz,5,-2.966,-2.579,-1.794,-0.641,-8.303,whisper-small
21,method_1765,11,1745 → 6400 Hz,5,-2.956,-2.553,-1.831,-0.536,-7.88,whisper-small
22,method_1730,25,1467 → 6400 Hz,5,-2.693,-2.157,-1.564,0.525,-6.325,whisper-tiny
23,method_1032,49,200 → 3200 Hz,5,-2.626,-2.137,-0.943,0.304,-7.844,whisper-small
24,method_1601,96,872 → 6400 Hz,5,-2.601,-2.24,-1.206,-0.434,-8.233,whisper-tiny
25,method_1737,13,1600 → 2468 Hz,5,-2.496,-2.147,-1.634,-0.407,-6.023,whisper-tiny
26,method_1701,20,1345 → 2691 Hz,5,-2.487,-2.067,-1.92,0.035,-4.336,whisper-tiny
27,method_1710,16,1345 → 5869 Hz,5,-2.458,-2.055,-1.809,-0.041,-5.454,whisper-tiny
28,method_1722,14,1467 → 3200 Hz,5,-2.415,-2.053,-1.721,-0.241,-4.399,whisper-tiny
29,method_1835,115,2691 → 6400 Hz,5,-2.321,-1.943,-0.905,-0.054,-5.283,whisper-tiny
30,method_1825,21,2468 → 7611 Hz,5,-2.304,-1.987,-1.536,-0.401,-4.625,wav2vec2-medium
31,method_1744_counter,100,4525 → 1600 Hz,5,-2.282,-1.773,-1.062,0.771,-5.384,whisper-base
32,method_1747,23,1600 → 5869 Hz,5,-2.248,-1.984,-1.71,-0.667,-4.287,whisper-tiny
33,method_1748,97,1600 → 6400 Hz,5,-2.247,-1.937,-1.53,-0.389,-5.077,whisper-tiny
34,method_1745,17,1600 → 4935 Hz,5,-2.238,-1.961,-1.821,-0.577,-4.401,whisper-tiny
35,method_1749,101,1600 → 6979 Hz,5,-2.184,-1.912,-1.769,-0.551,-3.506,whisper-tiny
36,method_1679_counter,27,2263 → 1234 Hz,5,-2.171,-1.851,-1.89,-0.25,-3.499,whisper-base
37,method_1848,106,2934 → 7611 Hz,5,-2.157,-1.9,-2.011,-0.62,-2.686,whisper-medium
38,method_1713,93,1345 → 7611 Hz,5,-2.154,-1.875,-2.294,-0.48,-2.96,whisper-tiny
39,method_1727,32,1467 → 4935 Hz,5,-2.148,-1.831,-1.736,-0.247,-3.214,whisper-tiny
40,method_1578,24,800 → 7611 Hz,5,-2.141,-1.908,-1.956,-0.745,-3.133,whisper-tiny
41,method_1676_counter,18,1745 → 1234 Hz,5,-2.134,-1.788,-1.554,-0.056,-4.389,whisper-small
42,method_1650,30,1037 → 7611 Hz,5,-2.127,-1.839,-1.999,-0.395,-3.218,whisper-tiny
43,method_1739,28,1600 → 2934 Hz,5,-2.109,-1.733,-1.429,0.149,-4.242,whisper-tiny
44,method_1266_counter,39,4150 → 336 Hz,5,-2.066,-1.596,-1.469,0.755,-3.455,whisper-medium
45,method_1798,33,2075 → 7611 Hz,5,-2.053,-2.322,-2.24,-1.022,-3.668,wav2vec2-large
46,method_1324_counter,102,1600 → 400 Hz,5,-2.028,-1.55,-1.767,0.841,-2.688,whisper-medium
47,method_1703,34,1345 → 3200 Hz,5,-2.027,-1.724,-1.573,-0.212,-3.362,whisper-tiny
48,method_1887,36,4525 → 6979 Hz,5,-2.024,-1.759,-0.983,-0.438,-5.32,whisper-base
49,method_1778,146,1903 → 4935 Hz,5,-2.0,-1.755,-1.494,-0.528,-3.672,whisper-small
50,method_1720,40,1467 → 2691 Hz,5,-1.973,-1.616,-1.135,0.171,-4.381,whisper-tiny
