phase_rank,method,stimulus,direction,n_agree,mean_uv,in_top_70,in_top_80,in_top_90,in_top_100
1,method_1812,2263 → 7611 Hz,regular,6,-2.2449,True,True,True,True
2,method_1750,1600 → 7611 Hz,regular,6,-2.1727,True,True,True,True
5,method_1882,4150 → 7611 Hz,regular,6,-1.9948,True,True,True,True
10,method_1740,1600 → 3200 Hz,regular,5,-3.143,True,True,True,True
14,method_1722,1467 → 3200 Hz,regular,5,-2.4693,True,True,True,True
39,method_1266_counter,4150 → 336 Hz,counter,5,-1.8728,True,True,True,True
29,method_1783,1903 → 7611 Hz,regular,5,-2.1056,False,True,True,True
3,method_1627,951 → 7611 Hz,regular,6,-2.1366,False,False,True,True
4,method_1603,872 → 7611 Hz,regular,6,-2.0744,False,False,True,True
15,method_1515,673 → 3200 Hz,regular,5,-2.4218,False,False,True,True
17,method_1745,1600 → 4935 Hz,regular,5,-2.2445,False,False,True,True
22,method_1738,1600 → 2691 Hz,regular,5,-2.1721,False,False,True,True
27,method_1679_counter,2263 → 1234 Hz,counter,5,-2.113,False,False,True,True
48,method_1699_counter,2263 → 1345 Hz,counter,5,-1.7598,False,False,True,True
12,method_1762,1745 → 4935 Hz,regular,5,-2.8146,False,False,False,True
26,method_1729,1467 → 5869 Hz,regular,5,-2.1268,False,False,False,True
28,method_1739,1600 → 2934 Hz,regular,5,-2.1073,False,False,False,True
35,method_1487,617 → 3200 Hz,regular,5,-1.9329,False,False,False,True
47,method_1708,1345 → 4935 Hz,regular,5,-1.7621,False,False,False,True
51,method_1024_counter,1600 → 200 Hz,counter,5,-1.7058,False,False,False,True
58,method_1613,951 → 2263 Hz,regular,5,-1.6626,False,False,False,True
61,method_1230_counter,4150 → 308 Hz,counter,5,-1.6126,False,False,False,True
69,method_1355_counter,1345 → 436 Hz,counter,5,-1.5081,False,False,False,True
