hz,n_as_standard,mean_uv_as_standard,n_as_deviant,mean_uv_as_deviant
200,4,-0.9288,4,-1.0412
218,2,-0.8891,2,-0.9575
238,5,-0.7653,5,-0.9564
259,4,-0.2572,4,-1.2384
283,4,-0.8907,4,-0.8522
308,1,-0.4122,1,-1.2589
336,2,-1.1236,2,-0.6157
367,1,-0.6216,1,-1.2385
400,3,-0.2673,3,-1.0931
436,1,-1.3512,1,-1.2399
476,5,-0.7304,5,-0.9951
519,3,-0.911,3,-0.9488
566,1,-0.5785,1,-0.9505
617,1,-1.4838,1,-0.316
673,4,-1.5882,4,-0.4004
734,2,-1.4303,2,-0.1294
800,7,-1.5373,7,-0.2392
872,7,-1.3193,7,-0.121
951,9,-1.3363,9,-0.3521
1037,3,-1.3032,3,-0.6479
1131,1,-0.5609,1,-1.0333
1234,7,-0.1925,7,-1.3918
1345,12,-1.448,12,-0.7328
1467,8,-1.4829,8,-0.4123
1600,17,-1.7134,17,-0.3389
1745,13,-1.7218,13,-0.2228
1903,5,-1.1398,5,-0.6143
2075,7,-0.9392,7,-0.6417
2263,10,-1.4315,10,-0.9276
2468,5,-0.4285,5,-1.4384
2691,5,-0.7677,5,-1.4388
2934,4,-0.8171,4,-1.0588
3200,8,-0.3966,8,-1.8034
3490,1,-0.8258,1,-0.5233
3805,5,-1.1682,5,-0.4416
4150,14,-1.2827,14,-0.6062
4525,5,-1.0378,5,-0.8213
4935,8,-0.1487,8,-1.5338
5382,5,-0.7202,5,-1.3451
5869,5,-0.1336,5,-1.708
6400,8,-0.1466,8,-1.654
6979,12,-0.0059,12,-1.4557
7611,20,-0.3413,20,-1.846
