quantity,value,unit,source_file,source_field
d2_dataset_name,"Weissbart ""Cortical Surprisal"" naturalistic speech EEG (Zenodo 7775260)",text,https://zenodo.org/records/7775260,record title
d2_dataset_doi,"10.5281/zenodo.7775260 (v2.0.0, 2022-09-16)",doi,https://zenodo.org/records/7775260,DOI
d2_dataset_license,CC-BY-4.0,license,https://zenodo.org/records/7775260,license
d2_source_publication,10.1162/jocn_a_01467,doi,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166",citation
d2_hdf5_30s,outputs/neural_data/surprisal_30s.h5,path,aux/sophies_repository_overview.md,§1.4 table
d2_hdf5_10s,outputs/neural_data/surprisal_10s.h5,path,aux/sophies_repository_overview.md,§1.4 D2 10 s variant
d2_n_subjects,13,subjects,outputs/neural_data/surprisal_30s.h5 (cluster; read 2026-08-17 via probe_d2_cluster.py),attrs.n_subjects
d2_n_subjects_crosscheck_1,13,subjects,aux/project_plan_20260611.md,line 715 table
d2_n_subjects_crosscheck_2,13,subjects,aux/handoff_enable_large_wav2vec2_models.md,line 142 (P00.h5 .. P12.h5)
d2_subject_age,25 +/- 3,years,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166",Participants
d2_subject_sex,6 women of 13,count,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166",Participants
d2_handedness,all right-handed,text,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166",Participants
d2_native_language,English (native),text,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166",Participants
d2_storage_granularity,group-averaged (attrs.subjects == ['group']),text,outputs/neural_data/surprisal_30s.h5 (cluster; read 2026-08-17 via probe_d2_cluster.py),attrs.subjects
d2_stimulus_corpus,"3 public-domain short stories by J. M. Barrie and F. Anstey, 15 parts",text,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166",Experimental Design
d2_story_AUN,"An Undergraduate's Aunt (F. Anstey) -- stems AUNP01-08, 8 parts",text,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166 + zenodo align_data.py",story_part_names
d2_story_BRO,"My Brother Henry (J. M. Barrie) -- stems BROP01-03, 3 parts",text,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166 + zenodo align_data.py",story_part_names
d2_story_FLO,"Gilray's Flower Pot (J. M. Barrie) -- stems FLOP01-04, 4 parts",text,"Weissbart, Kandylaki & Reichenbach 2020, J Cogn Neurosci 32(1):155-166 + zenodo align_data.py",story_part_names
