model,set,method_id,method,direction,f_standard,f_deviant,semitones,trough_uv,latency_ms,recovery_frac,s7_pass,s2_pass,s4_specificity,post_slope_uv_per_100ms,ctrl_min_uv,n_deviants,consensus_rank,n_agree
wav2vec2-large,literature,19,method_19_counter,counter,1850.0,1000.0,10.6503,-7.902,160.9375,0.5803,True,True,False,-1.5384,-12.2703,15,3,4
wav2vec2-large,literature,17,method_17_counter,counter,1850.0,1000.0,10.6503,-7.4556,160.9375,0.5846,True,True,False,-1.6996,-12.1037,15,4,4
wav2vec2-large,literature,18,method_18_counter,counter,1850.0,1000.0,10.6503,-7.3774,160.9375,0.6001,True,True,False,-1.6368,-12.129,15,5,4
wav2vec2-large,literature,53,method_53_counter,counter,1200.0,1000.0,3.1564,-4.0354,140.9375,1.4603,True,True,True,4.7294,3.9203,15,12,3
wav2vec2-large,literature,55,method_55_counter,counter,2000.0,1000.0,12.0,-3.7608,220.9375,0.2921,False,False,False,0.6325,-5.3132,15,15,3
wav2vec2-large,literature,60,method_60,regular,1000.0,1500.0,7.0196,-3.4041,120.875,1.4894,True,True,True,1.313,1.0996,15,6,4
wav2vec2-large,literature,60,method_60_counter,counter,1500.0,1000.0,7.0196,-3.1185,220.9375,0.8477,True,True,True,1.7347,-1.4873,15,9,3
wav2vec2-large,literature,21,method_21,regular,1000.0,1850.0,10.6503,-2.7353,220.875,0.3642,False,False,False,-0.1472,-5.0528,15,2,5
wav2vec2-large,literature,9,method_9,regular,600.0,1000.0,8.8436,-2.7279,111.0,1.9498,True,True,True,0.8505,-0.8011,15,14,3
wav2vec2-large,literature,18,method_18,regular,1000.0,1850.0,10.6503,-2.7151,120.875,1.8196,True,True,False,-0.721,-3.0967,15,11,3
wav2vec2-large,literature,20,method_20,regular,1000.0,1850.0,10.6503,-2.6603,220.875,0.379,False,False,False,-0.0897,-5.0014,15,1,5
wav2vec2-large,literature,33,method_33_counter,counter,1200.0,1000.0,3.1564,-2.5949,220.9375,0.88,True,True,True,1.7765,-1.7842,15,33,2
wav2vec2-large,literature,17,method_17,regular,1000.0,1850.0,10.6503,-2.5464,120.875,1.9094,True,True,False,-0.7275,-2.9341,15,10,3
wav2vec2-large,literature,19,method_19,regular,1000.0,1850.0,10.6503,-2.4755,120.875,1.79,True,True,False,-0.9542,-3.2518,15,13,3
wav2vec2-large,literature,27,method_27,regular,1000.0,1064.0,1.074,-2.0816,100.875,0.5126,True,True,True,0.8456,-0.3275,15,35,2
wav2vec2-large,literature,10,method_10_counter,counter,1122.0,1000.0,1.9929,-1.9873,140.9375,1.4567,True,True,False,0.3373,-2.2845,15,44,1
wav2vec2-large,literature,21,method_21_counter,counter,1850.0,1000.0,10.6503,-1.296,180.9375,1.0602,True,True,False,0.0868,-3.8135,15,16,3
wav2vec2-large,literature,20,method_20_counter,counter,1850.0,1000.0,10.6503,-1.2706,180.9375,0.9773,True,True,False,0.194,-3.5541,15,17,3
wav2vec2-large,literature,30,method_30_counter,counter,1200.0,1000.0,3.1564,-1.2609,220.9375,1.574,True,True,True,2.0434,0.1705,15,20,3
wav2vec2-large,literature,74,method_74,regular,1000.0,1500.0,7.0196,-1.22,100.875,2.0688,True,True,True,0.1311,0.1734,15,22,3
wav2vec2-large,literature,29,method_29_counter,counter,1200.0,1000.0,3.1564,-1.1992,220.9375,1.6136,True,True,True,2.0176,0.2747,15,21,3
wav2vec2-large,literature,37,method_37,regular,1000.0,1050.0,0.8447,-1.145,200.875,1.0563,True,True,False,0.0474,-2.3728,15,41,2
wav2vec2-large,literature,31,method_31_counter,counter,1200.0,1000.0,3.1564,-1.1436,220.9375,1.6569,True,True,True,2.0159,0.3965,15,23,3
wav2vec2-large,literature,43,method_43,regular,633.0,700.0,1.7418,-1.1133,150.875,1.1412,True,True,False,-0.6546,-2.188,15,26,2
wav2vec2-large,literature,28,method_28_counter,counter,1200.0,1000.0,3.1564,-1.1031,220.9375,1.6711,True,True,True,1.9683,0.4055,15,24,3
wav2vec2-large,literature,32,method_32_counter,counter,1200.0,1000.0,3.1564,-1.0674,220.9375,1.6826,True,True,True,1.949,0.3882,15,25,3
wav2vec2-large,literature,72,method_72,regular,1000.0,1200.0,3.1564,-0.9797,120.875,1.1804,True,True,True,1.1516,1.2955,15,8,4
wav2vec2-large,literature,75,method_75,regular,1000.0,1200.0,3.1564,-0.9773,120.875,1.0066,True,True,True,1.0111,0.873,15,7,4
wav2vec2-large,literature,75,method_75_counter,counter,1200.0,1000.0,3.1564,-0.9058,200.9375,13.0593,True,True,False,-0.071,-1.0706,15,46,1
wav2vec2-large,literature,72,method_72_counter,counter,1200.0,1000.0,3.1564,-0.7593,200.9375,0.0,False,False,False,-0.0259,-0.8728,15,47,1
wav2vec2-large,literature,37,method_37_counter,counter,1050.0,1000.0,0.8447,-0.6836,160.875,2.8574,False,True,True,0.4766,0.3727,15,43,2
wav2vec2-large,literature,53,method_53,regular,1000.0,1200.0,3.1564,-0.5883,100.875,2.8553,False,True,False,-1.6567,-2.9334,15,34,2
wav2vec2-large,literature,74,method_74_counter,counter,1500.0,1000.0,7.0196,-0.547,140.9375,0.0,False,False,False,1.7182,0.5967,15,39,2
wav2vec2-large,literature,30,method_30,regular,1000.0,1200.0,3.1564,-0.5035,120.875,3.113,False,True,True,0.4864,0.214,15,31,2
wav2vec2-large,literature,29,method_29,regular,1000.0,1200.0,3.1564,-0.493,120.875,3.5035,False,True,True,0.5552,0.4239,15,30,2
wav2vec2-large,literature,32,method_32,regular,1000.0,1200.0,3.1564,-0.464,120.875,4.709,False,True,True,0.7461,0.9465,15,32,2
wav2vec2-large,literature,28,method_28,regular,1000.0,1200.0,3.1564,-0.3993,120.875,5.6072,False,True,True,0.6709,0.9246,15,29,2
wav2vec2-large,literature,12,method_12_counter,counter,1200.0,1000.0,3.1564,-0.3831,120.9375,5.9811,False,True,False,-0.4708,-1.0027,15,37,2
wav2vec2-large,literature,31,method_31,regular,1000.0,1200.0,3.1564,-0.3771,120.875,5.6641,False,True,True,0.6449,0.8838,15,28,2
wav2vec2-large,literature,55,method_55,regular,1000.0,2000.0,12.0,-0.3108,200.875,2.5762,False,True,False,-0.024,-0.9381,15,19,3
wav2vec2-large,literature,33,method_33,regular,1000.0,1200.0,3.1564,-0.297,140.875,0.9213,False,True,True,0.377,0.4736,15,36,2
wav2vec2-large,literature,43,method_43_counter,counter,700.0,633.0,1.7418,-0.229,210.875,6.8282,False,True,False,0.6658,-0.9266,15,48,0
wav2vec2-large,literature,44,method_44,regular,633.0,1000.0,7.9167,-0.0472,230.875,0.0,False,False,False,-1.6029,-2.3589,15,18,3
wav2vec2-large,literature,10,method_10,regular,1000.0,1122.0,1.9929,0.1912,120.875,8.2649,False,True,True,-0.6574,-0.1196,15,42,2
wav2vec2-large,literature,12,method_12,regular,1000.0,1200.0,3.1564,0.3556,120.875,0.0,False,False,False,1.0506,2.2399,15,40,2
wav2vec2-large,literature,44,method_44_counter,counter,1000.0,633.0,7.9167,0.88,230.875,0.0,False,False,False,1.0569,-0.1979,15,27,2
wav2vec2-large,literature,27,method_27_counter,counter,1064.0,1000.0,1.074,1.2818,200.875,0.0,False,False,False,-0.583,0.0644,15,45,1
wav2vec2-large,literature,9,method_9_counter,counter,1000.0,600.0,8.8436,3.6737,230.875,0.0,False,False,False,-4.9103,-4.7824,15,38,2
wav2vec2-large,phase2,1740,method_1740,regular,1600.0,3200.0,12.0,-8.0532,140.875,0.8351,True,True,True,4.5232,-1.2951,15,10,5
wav2vec2-large,phase2,1765,method_1765,regular,1745.0,6400.0,22.4981,-7.8343,220.9375,0.9862,True,True,True,5.8276,-3.5148,15,11,5
wav2vec2-large,phase2,1767,method_1767,regular,1745.0,7611.0,25.4983,-7.6299,220.9375,0.1853,False,False,True,2.2463,-6.1857,15,94,4
wav2vec2-large,phase2,1762,method_1762,regular,1745.0,4935.0,17.9979,-7.006,220.9375,0.6666,True,True,True,4.8588,-2.8209,15,12,5
wav2vec2-large,phase2,1515,method_1515,regular,673.0,3200.0,26.9927,-6.3466,160.8125,1.1365,True,True,True,3.914,-1.6979,15,15,5
wav2vec2-large,phase2,1848,method_1848_counter,counter,7611.0,2934.0,16.5026,-6.1886,100.8125,1.3361,True,True,True,5.0886,1.5152,15,131,3
wav2vec2-large,phase2,1737,method_1737,regular,1600.0,2468.0,7.5032,-6.1867,140.875,0.9607,True,True,True,2.4554,-2.555,15,13,5
wav2vec2-large,phase2,1601,method_1601,regular,872.0,6400.0,34.5081,-6.0568,200.9375,1.2915,True,True,True,6.2801,0.1157,15,96,4
wav2vec2-large,phase2,1808,method_1808_counter,counter,5382.0,2263.0,14.9989,-5.837,100.9375,1.5041,True,True,True,4.4696,3.5266,15,132,3
wav2vec2-large,phase2,1699,method_1699,regular,1345.0,2263.0,9.0076,-5.8085,100.875,1.1886,True,True,True,3.4692,2.5464,15,92,4
