model,set,rank,method_id,method,direction,f_standard,f_deviant,semitones,trough_uv,latency_ms,recovery_frac,s7_pass,s2_pass,s4_specificity,post_slope_uv_per_100ms,ctrl_min_uv,n_deviants,consensus_rank,n_agree
whisper-tiny,literature,1,19,method_19_counter,counter,1850.0,1000.0,10.6503,-2.6455,140.9375,1.4382,True,True,True,0.2418,-1.8315,15,3,4
whisper-tiny,literature,2,60,method_60_counter,counter,1500.0,1000.0,7.0196,-2.5115,140.9375,1.6479,True,True,True,2.3886,-0.9184,15,9,3
whisper-tiny,literature,3,55,method_55_counter,counter,2000.0,1000.0,12.0,-2.1677,220.9375,0.8932,True,True,True,1.9228,-0.7182,15,15,3
whisper-tiny,literature,4,55,method_55,regular,1000.0,2000.0,12.0,-1.5126,100.875,2.0812,True,True,True,0.7835,-0.159,15,19,3
whisper-tiny,literature,5,21,method_21,regular,1000.0,1850.0,10.6503,-1.3389,120.875,2.351,True,True,True,0.5989,-0.0769,15,2,5
whisper-tiny,phase2,1,1577,method_1577_counter,counter,6979.0,800.0,37.4994,-2.6278,160.875,1.0169,True,True,True,1.7901,-0.248,15,215,1
whisper-tiny,phase2,2,1721,method_1721_counter,counter,2934.0,1467.0,12.0,-2.6003,180.9375,1.4778,True,True,True,2.0412,-0.1857,15,148,3
whisper-tiny,phase2,3,1551,method_1551_counter,counter,6979.0,734.0,38.99,-2.4068,160.875,1.0119,True,True,True,1.8599,-0.2308,15,217,1
whisper-tiny,phase2,4,1703,method_1703_counter,counter,3200.0,1345.0,15.0056,-2.3839,180.875,1.31,True,True,True,1.3255,-0.3316,15,143,3
whisper-tiny,phase2,5,1515,method_1515_counter,counter,3200.0,673.0,26.9927,-2.3268,180.875,1.733,True,True,True,1.6876,-0.4659,15,142,3
whisper-base,literature,1,19,method_19_counter,counter,1850.0,1000.0,10.6503,-1.3437,120.9375,2.7801,True,True,True,-0.0584,-0.5568,15,3,4
whisper-base,literature,2,18,method_18,regular,1000.0,1850.0,10.6503,-1.259,180.875,1.4701,True,True,True,0.9001,-1.1794,15,11,3
