model,test,statistic,df,p,effect_size_name,effect_size,ci_low,ci_high,gate,n_lit,n_p2
whisper-tiny,welch_t,-0.740582,60.728815,0.461801,mean_diff_uv_p2_minus_lit,-0.093033,-0.344252,0.158186,all,48,254
whisper-tiny,cohens_d_pooled_sd,-0.129506,300.0,,cohens_d_p2_minus_lit_pooled_sd,-0.129506,-0.438155,0.179144,all,48,254
whisper-tiny,mannwhitney_u,5292.0,,0.147571,rank_biserial_r_p2_minus_lit,-0.13189,,,all,48,254
whisper-base,welch_t,0.277275,143.041398,0.781969,mean_diff_uv_p2_minus_lit,0.025711,-0.157581,0.209002,all,48,254
whisper-base,cohens_d_pooled_sd,0.027304,300.0,,cohens_d_p2_minus_lit_pooled_sd,0.027304,-0.28118,0.335788,all,48,254
whisper-base,mannwhitney_u,5876.0,,0.692393,rank_biserial_r_p2_minus_lit,-0.036089,,,all,48,254
whisper-small,welch_t,-0.400397,147.504753,0.689443,mean_diff_uv_p2_minus_lit,-0.038346,-0.227605,0.150913,all,48,254
whisper-small,cohens_d_pooled_sd,-0.038994,300.0,,cohens_d_p2_minus_lit_pooled_sd,-0.038994,-0.347486,0.269499,all,48,254
whisper-small,mannwhitney_u,5583.0,,0.355648,rank_biserial_r_p2_minus_lit,-0.084154,,,all,48,254
whisper-medium,welch_t,0.52715,58.339281,0.600089,mean_diff_uv_p2_minus_lit,0.133502,-0.373377,0.640382,all,48,254
whisper-medium,cohens_d_pooled_sd,0.098024,300.0,,cohens_d_p2_minus_lit_pooled_sd,0.098024,-0.210552,0.406599,all,48,254
whisper-medium,mannwhitney_u,5977.0,,0.830879,rank_biserial_r_p2_minus_lit,-0.019521,,,all,48,254
wav2vec2-medium,welch_t,-2.982491,83.91172,0.003742,mean_diff_uv_p2_minus_lit,-0.299323,-0.498903,-0.099743,all,48,254
wav2vec2-medium,cohens_d_pooled_sd,-0.381041,300.0,,cohens_d_p2_minus_lit_pooled_sd,-0.381041,-0.691011,-0.071071,all,48,254
wav2vec2-medium,mannwhitney_u,4504.0,,0.004126,rank_biserial_r_p2_minus_lit,-0.261155,,,all,48,254
wav2vec2-large,welch_t,0.297281,65.697248,0.76719,mean_diff_uv_p2_minus_lit,0.097158,-0.555417,0.749732,all,48,254
wav2vec2-large,cohens_d_pooled_sd,0.047035,300.0,,cohens_d_p2_minus_lit_pooled_sd,0.047035,-0.261464,0.355534,all,48,254
wav2vec2-large,mannwhitney_u,6155.0,,0.91603,rank_biserial_r_p2_minus_lit,0.009678,,,all,48,254
whisper-tiny,welch_t,1.454944,16.831097,0.164082,mean_diff_uv_p2_minus_lit,0.260986,-0.11776,0.639731,s7,16,125
whisper-tiny,cohens_d_pooled_sd,0.517889,139.0,,cohens_d_p2_minus_lit_pooled_sd,0.517889,-0.006025,1.041804,s7,16,125
whisper-tiny,mannwhitney_u,1199.0,,0.196945,rank_biserial_r_p2_minus_lit,0.199,,,s7,16,125
whisper-base,welch_t,-3.477547,22.34734,0.0021,mean_diff_uv_p2_minus_lit,-0.260819,-0.416221,-0.105417,s7,13,122
whisper-base,cohens_d_pooled_sd,-0.623873,133.0,,cohens_d_p2_minus_lit_pooled_sd,-0.623873,-1.200531,-0.047216,s7,13,122
whisper-base,mannwhitney_u,517.0,,0.039888,rank_biserial_r_p2_minus_lit,-0.348045,,,s7,13,122
whisper-small,welch_t,-3.131048,57.0572,0.002746,mean_diff_uv_p2_minus_lit,-0.231569,-0.379666,-0.083472,s7,15,126
whisper-small,cohens_d_pooled_sd,-0.398521,139.0,,cohens_d_p2_minus_lit_pooled_sd,-0.398521,-0.935884,0.138842,s7,15,126
whisper-small,mannwhitney_u,824.0,,0.420385,rank_biserial_r_p2_minus_lit,-0.128042,,,s7,15,126
whisper-medium,welch_t,0.465948,26.861587,0.645009,mean_diff_uv_p2_minus_lit,0.166867,-0.56812,0.901855,s7,26,155
whisper-medium,cohens_d_pooled_sd,0.162512,179.0,,cohens_d_p2_minus_lit_pooled_sd,0.162512,-0.253203,0.578226,s7,26,155
whisper-medium,mannwhitney_u,1853.0,,0.513599,rank_biserial_r_p2_minus_lit,-0.080397,,,s7,26,155
wav2vec2-medium,welch_t,-2.971396,44.004027,0.00479,mean_diff_uv_p2_minus_lit,-0.2693,-0.451954,-0.086646,s7,29,187
wav2vec2-medium,cohens_d_pooled_sd,-0.491503,214.0,,cohens_d_p2_minus_lit_pooled_sd,-0.491503,-0.885407,-0.097599,s7,29,187
wav2vec2-medium,mannwhitney_u,1994.0,,0.022044,rank_biserial_r_p2_minus_lit,-0.264614,,,s7,29,187
wav2vec2-large,welch_t,-0.40784,30.27395,0.686261,mean_diff_uv_p2_minus_lit,-0.17304,-1.039216,0.693136,s7,26,141
wav2vec2-large,cohens_d_pooled_sd,-0.106753,165.0,,cohens_d_p2_minus_lit_pooled_sd,-0.106753,-0.525239,0.311732,s7,26,141
wav2vec2-large,mannwhitney_u,1479.0,,0.118671,rank_biserial_r_p2_minus_lit,-0.193126,,,s7,26,141
whisper-tiny,welch_t,-1.392362,53.39397,0.169585,mean_diff_uv_p2_minus_lit,-0.182777,-0.446027,0.080474,s2,44,219
whisper-tiny,cohens_d_pooled_sd,-0.275836,261.0,,cohens_d_p2_minus_lit_pooled_sd,-0.275836,-0.600499,0.048827,s2,44,219
whisper-tiny,mannwhitney_u,3783.0,,0.024651,rank_biserial_r_p2_minus_lit,-0.214819,,,s2,44,219
whisper-base,welch_t,-5.928637,88.61423,0.0,mean_diff_uv_p2_minus_lit,-0.480415,-0.641436,-0.319395,s2,42,165
whisper-base,cohens_d_pooled_sd,-0.833286,205.0,,cohens_d_p2_minus_lit_pooled_sd,-0.833286,-1.181412,-0.485159,s2,42,165
whisper-base,mannwhitney_u,1802.0,,2e-06,rank_biserial_r_p2_minus_lit,-0.479942,,,s2,42,165
whisper-small,welch_t,-5.236863,101.105033,1e-06,mean_diff_uv_p2_minus_lit,-0.465766,-0.642196,-0.289335,s2,45,185
whisper-small,cohens_d_pooled_sd,-0.676107,228.0,,cohens_d_p2_minus_lit_pooled_sd,-0.676107,-1.007697,-0.344517,s2,45,185
whisper-small,mannwhitney_u,2492.0,,3e-05,rank_biserial_r_p2_minus_lit,-0.401321,,,s2,45,185
whisper-medium,welch_t,-1.000762,52.836157,0.321503,mean_diff_uv_p2_minus_lit,-0.253625,-0.761981,0.254731,s2,46,203
whisper-medium,cohens_d_pooled_sd,-0.220204,247.0,,cohens_d_p2_minus_lit_pooled_sd,-0.220204,-0.540846,0.100438,s2,46,203
