gate,model,n_lit,n_p2,lit_median_uv,p2_median_uv,lit_deepest_uv,p2_deepest_uv,n_deeper_than_lit_min,pct_deeper_than_lit_min,n_deeper_than_lit_p90,n_deeper_than_lit_p95
all,whisper-tiny,48,254,-0.4206,-0.7389,-2.6455,-2.6278,0,0.0,22,2
all,whisper-base,48,254,-0.4815,-0.6367,-1.3437,-2.6459,58,22.8346,65,61
all,whisper-small,48,254,-0.4375,-0.7528,-1.4879,-3.3269,36,14.1732,59,45
all,whisper-medium,48,254,-0.952,-1.0051,-9.6088,-4.6716,0,0.0,53,46
all,wav2vec2-medium,48,254,-0.8912,-1.2532,-2.081,-3.7891,40,15.748,52,50
all,wav2vec2-large,48,254,-1.1082,-1.2755,-7.902,-8.0532,1,0.3937,39,5
s7,whisper-tiny,16,125,-1.4258,-1.212,-2.6455,-2.6278,0,0.0,0,0
s7,whisper-base,13,122,-1.2348,-1.2922,-1.3437,-2.6459,56,45.9016,56,56
s7,whisper-small,15,126,-1.0808,-1.1589,-1.4879,-3.3269,36,28.5714,38,36
s7,whisper-medium,26,155,-1.7457,-1.8397,-9.6088,-4.6716,0,0.0,47,0
s7,wav2vec2-medium,29,187,-1.1929,-1.5664,-2.081,-3.7891,39,20.8556,51,45
s7,wav2vec2-large,26,141,-1.6416,-2.4254,-7.902,-8.0532,1,0.7092,9,2
s2,whisper-tiny,44,219,-0.4457,-0.8553,-2.6455,-2.6278,0,0.0,15,1
s2,whisper-base,42,165,-0.6534,-1.0623,-1.3437,-2.6459,56,33.9394,63,56
s2,whisper-small,45,185,-0.4664,-0.963,-1.4879,-3.3269,36,19.4595,57,45
s2,whisper-medium,46,203,-0.9736,-1.4938,-9.6088,-4.6716,0,0.0,53,46
s2,wav2vec2-medium,47,227,-0.8925,-1.3752,-2.081,-3.7891,39,17.1806,51,49
s2,wav2vec2-large,38,186,-1.1443,-1.758,-7.902,-8.0532,1,0.5376,31,2
