gate,model,set,n,mean,sd,median,iqr_low,iqr_high,deepest_uv,shallowest_uv,n_deeper_than_lit_min,pct_deeper_than_lit_min,n_deeper_than_lit_p90,pct_deeper_than_lit_p90,n_deeper_than_lit_p95,pct_deeper_than_lit_p95
all,whisper-tiny,LIT,48,-0.6878,0.8156,-0.4206,-0.991,-0.1956,-2.6455,0.452,,,,,,
all,whisper-tiny,NOVEL-P2,254,-0.7808,0.6988,-0.7389,-1.1992,-0.2677,-2.6278,1.0486,0.0,0.0,22.0,8.6614,2.0,0.7874
all,whisper-base,LIT,48,-0.5093,0.471,-0.4815,-0.7781,-0.2036,-1.3437,0.387,,,,,,
all,whisper-base,NOVEL-P2,254,-0.4835,1.0051,-0.6367,-1.287,0.4325,-2.6459,1.4882,58.0,22.8346,65.0,25.5906,61.0,24.0157
all,whisper-small,LIT,48,-0.5206,0.4813,-0.4375,-0.9676,-0.1702,-1.4879,0.254,,,,,,
all,whisper-small,NOVEL-P2,254,-0.559,1.0506,-0.7528,-1.1593,0.0585,-3.3269,2.2716,36.0,14.1732,59.0,23.2283,45.0,17.7165
all,whisper-medium,LIT,48,-1.2222,1.6613,-0.952,-1.7624,-0.5042,-9.6088,1.3871,,,,,,
all,whisper-medium,NOVEL-P2,254,-1.0887,1.2988,-1.0051,-2.045,-0.1225,-4.6716,2.3572,0.0,0.0,53.0,20.8661,46.0,18.1102
all,wav2vec2-medium,LIT,48,-0.9658,0.5981,-0.8912,-1.2773,-0.5805,-2.081,0.2667,,,,,,
all,wav2vec2-medium,NOVEL-P2,254,-1.2651,0.8156,-1.2532,-1.7955,-0.8415,-3.7891,1.368,40.0,15.748,52.0,20.4724,50.0,19.685
all,wav2vec2-large,LIT,48,-1.5408,2.0791,-1.1082,-2.5585,-0.4478,-7.902,3.6737,,,,,,
all,wav2vec2-large,NOVEL-P2,254,-1.4437,2.0631,-1.2755,-2.7209,0.028,-8.0532,3.7555,1.0,0.3937,39.0,15.3543,5.0,1.9685
s7,whisper-tiny,LIT,16,-1.6148,0.6971,-1.4258,-2.2537,-1.0646,-2.6455,-0.784,,,,,,
s7,whisper-tiny,NOVEL-P2,125,-1.3538,0.4753,-1.212,-1.6961,-0.9814,-2.6278,-0.7592,0.0,0.0,0.0,0.0,0.0,0.0
s7,whisper-base,LIT,13,-1.0938,0.2307,-1.2348,-1.259,-0.9026,-1.3437,-0.7746,,,,,,
s7,whisper-base,NOVEL-P2,122,-1.3546,0.4322,-1.2922,-1.6657,-1.0088,-2.6459,-0.7649,56.0,45.9016,56.0,45.9016,56.0,45.9016
s7,whisper-small,LIT,15,-1.1311,0.1946,-1.0808,-1.2538,-0.97,-1.4879,-0.9162,,,,,,
s7,whisper-small,NOVEL-P2,126,-1.3627,0.6093,-1.1589,-1.5209,-0.9595,-3.3269,-0.7514,36.0,28.5714,38.0,30.1587,36.0,28.5714
s7,whisper-medium,LIT,26,-2.0857,1.7935,-1.7457,-2.1679,-1.1421,-9.6088,-0.7761,,,,,,
s7,whisper-medium,NOVEL-P2,155,-1.9188,0.8386,-1.8397,-2.4811,-1.2152,-4.6716,-0.7707,0.0,0.0,47.0,30.3226,0.0,0.0
s7,wav2vec2-medium,LIT,29,-1.3395,0.4348,-1.1929,-1.8644,-0.965,-2.081,-0.7855,,,,,,
s7,wav2vec2-medium,NOVEL-P2,187,-1.6088,0.563,-1.5664,-1.9052,-1.1295,-3.7891,-0.8012,39.0,20.8556,51.0,27.2727,45.0,24.0642
s7,wav2vec2-large,LIT,26,-2.504,2.0614,-1.6416,-2.7247,-1.1439,-7.902,-0.9058,,,,,,
s7,wav2vec2-large,NOVEL-P2,141,-2.677,1.529,-2.4254,-3.4369,-1.4784,-8.0532,-0.762,1.0,0.7092,9.0,6.383,2.0,1.4184
s2,whisper-tiny,LIT,44,-0.7441,0.8243,-0.4457,-1.1389,-0.1956,-2.6455,0.4428,,,,,,
s2,whisper-tiny,NOVEL-P2,219,-0.9268,0.6258,-0.8553,-1.299,-0.3985,-2.6278,0.4089,0.0,0.0,15.0,6.8493,1.0,0.4566
s2,whisper-base,LIT,42,-0.6004,0.4261,-0.6534,-0.8009,-0.2375,-1.3437,0.3648,,,,,,
s2,whisper-base,NOVEL-P2,165,-1.0808,0.6084,-1.0623,-1.5271,-0.7269,-2.6459,0.3296,56.0,33.9394,63.0,38.1818,56.0,33.9394
s2,whisper-small,LIT,45,-0.5567,0.4755,-0.4664,-0.969,-0.2081,-1.4879,0.254,,,,,,
s2,whisper-small,NOVEL-P2,185,-1.0224,0.7308,-0.963,-1.309,-0.5449,-3.3269,0.8471,36.0,19.4595,57.0,30.8108,45.0,24.3243
s2,whisper-medium,LIT,46,-1.2863,1.6506,-0.9736,-1.7692,-0.5353,-9.6088,0.7766,,,,,,
s2,whisper-medium,NOVEL-P2,203,-1.5399,1.0076,-1.4938,-2.2574,-0.7829,-4.6716,0.104,0.0,0.0,53.0,26.1084,46.0,22.6601
s2,wav2vec2-medium,LIT,47,-0.992,0.576,-0.8925,-1.3039,-0.591,-2.081,0.0302,,,,,,
s2,wav2vec2-medium,NOVEL-P2,227,-1.368,0.7541,-1.3752,-1.8226,-0.9456,-3.7891,1.368,39.0,17.1806,51.0,22.467,49.0,21.5859
s2,wav2vec2-large,LIT,38,-1.8327,1.9719,-1.1443,-2.5287,-0.5247,-7.902,0.1912,,,,,,
s2,wav2vec2-large,NOVEL-P2,186,-2.0201,1.7904,-1.758,-2.9744,-0.7944,-8.0532,2.4586,1.0,0.5376,31.0,16.6667,2.0,1.0753
