site,method,S2,S7@0.25,S7@0.5,S7@0.75,S7@1.0,S7@1.5,S7@2.5,method_id,dirn,st,soa,hz
frontal,method_09_counter,6,5,5,5,5,4,2,9,counter,8.843587129994475,630,1000→600
frontal,method_09,4,4,3,3,3,3,1,9,regular,8.843587129994475,630,600→1000
frontal,method_10_counter,7,6,6,6,6,6,3,10,counter,1.9928721113604713,300,1122→1000
frontal,method_10,6,5,5,5,5,3,2,10,regular,1.9928721113604713,300,1000→1122
frontal,method_12_counter,7,6,4,4,3,2,1,12,counter,3.1564128700055254,400,1200→1000
frontal,method_12,6,6,6,5,5,3,2,12,regular,3.1564128700055254,400,1000→1200
frontal,method_17_counter,5,4,4,3,3,3,3,17,counter,10.65030324889905,200,1850→1000
frontal,method_17,4,0,0,0,0,0,0,17,regular,10.65030324889905,200,1000→1850
frontal,method_18_counter,5,4,4,4,3,3,3,18,counter,10.65030324889905,200,1850→1000
frontal,method_18,4,0,0,0,0,0,0,18,regular,10.65030324889905,200,1000→1850
frontal,method_19_counter,5,4,4,3,3,3,3,19,counter,10.65030324889905,200,1850→1000
frontal,method_19,4,0,0,0,0,0,0,19,regular,10.65030324889905,200,1000→1850
frontal,method_20_counter,6,6,6,6,5,4,4,20,counter,10.65030324889905,500,1850→1000
frontal,method_20,4,4,4,4,3,2,1,20,regular,10.65030324889905,500,1000→1850
frontal,method_21_counter,6,6,6,6,4,4,4,21,counter,10.65030324889905,500,1850→1000
frontal,method_21,4,4,4,4,3,2,1,21,regular,10.65030324889905,500,1000→1850
frontal,method_27_counter,5,3,2,2,2,2,1,27,counter,1.0739778100692317,900,1064→1000
frontal,method_27,4,4,3,3,3,2,0,27,regular,1.0739778100692317,900,1000→1064
frontal,method_28_counter,7,5,5,5,4,3,2,28,counter,3.1564128700055254,350,1200→1000
frontal,method_28,5,5,5,4,3,3,2,28,regular,3.1564128700055254,350,1000→1200
frontal,method_29_counter,7,5,5,5,4,3,2,29,counter,3.1564128700055254,350,1200→1000
frontal,method_29,6,6,6,5,4,4,3,29,regular,3.1564128700055254,350,1000→1200
frontal,method_30_counter,7,5,5,5,4,3,2,30,counter,3.1564128700055254,350,1200→1000
frontal,method_30,5,5,5,4,3,3,2,30,regular,3.1564128700055254,350,1000→1200
frontal,method_31_counter,7,5,5,5,4,3,2,31,counter,3.1564128700055254,350,1200→1000
frontal,method_31,6,6,6,5,5,4,3,31,regular,3.1564128700055254,350,1000→1200
frontal,method_32_counter,7,5,5,5,4,4,2,32,counter,3.1564128700055254,350,1200→1000
frontal,method_32,6,6,6,5,5,4,3,32,regular,3.1564128700055254,350,1000→1200
frontal,method_33_counter,5,5,5,4,4,1,1,33,counter,3.1564128700055254,600,1200→1000
frontal,method_33,7,6,5,4,4,4,4,33,regular,3.1564128700055254,600,1000→1200
frontal,method_37_counter,4,2,2,2,2,1,1,37,counter,0.8446719346967759,310,1050→1000
frontal,method_37,4,4,4,2,2,1,0,37,regular,0.8446719346967759,310,1000→1050
frontal,method_43_counter,5,5,3,3,2,1,1,43,counter,1.74179306884785,510,700→633
frontal,method_43,4,4,3,2,2,2,1,43,regular,1.74179306884785,510,633→700
frontal,method_44_counter,5,5,5,5,5,4,3,44,counter,7.916671142804949,510,1000→633
frontal,method_44,6,6,5,5,3,2,1,44,regular,7.916671142804949,510,633→1000
frontal,method_53_counter,6,5,5,5,5,5,4,53,counter,3.1564128700055254,333,1200→1000
frontal,method_53,5,5,5,5,5,4,3,53,regular,3.1564128700055254,333,1000→1200
frontal,method_55_counter,6,6,5,5,5,5,4,55,counter,12.0,500,2000→1000
frontal,method_55,5,4,4,3,3,2,0,55,regular,12.0,500,1000→2000
frontal,method_60_counter,5,5,5,5,5,5,5,60,counter,7.019550008653875,300,1500→1000
frontal,method_60,5,5,5,5,5,4,3,60,regular,7.019550008653875,300,1000→1500
frontal,method_72_counter,7,6,6,5,3,2,0,72,counter,3.1564128700055254,500,1200→1000
frontal,method_72,6,5,5,5,5,4,2,72,regular,3.1564128700055254,500,1000→1200
frontal,method_74_counter,3,3,3,3,3,3,2,74,counter,7.019550008653875,1000,1500→1000
frontal,method_74,5,2,2,2,2,2,1,74,regular,7.019550008653875,1000,1000→1500
frontal,method_75_counter,7,6,6,6,3,2,1,75,counter,3.1564128700055254,500,1200→1000
frontal,method_75,6,5,5,5,5,4,2,75,regular,3.1564128700055254,500,1000→1200
FCz,method_09_counter,5,5,3,3,2,1,1,9,counter,8.843587129994475,630,1000→600
FCz,method_09,6,5,5,4,4,2,2,9,regular,8.843587129994475,630,600→1000
FCz,method_10_counter,7,7,7,5,3,3,2,10,counter,1.9928721113604713,300,1122→1000
FCz,method_10,5,4,3,3,2,2,2,10,regular,1.9928721113604713,300,1000→1122
FCz,method_12_counter,6,4,3,3,2,2,1,12,counter,3.1564128700055254,400,1200→1000
FCz,method_12,6,6,3,3,2,1,1,12,regular,3.1564128700055254,400,1000→1200
FCz,method_17_counter,6,5,5,4,4,2,2,17,counter,10.65030324889905,200,1850→1000
FCz,method_17,1,1,1,0,0,0,0,17,regular,10.65030324889905,200,1000→1850
FCz,method_18_counter,6,5,4,4,4,2,2,18,counter,10.65030324889905,200,1850→1000
FCz,method_18,1,1,0,0,0,0,0,18,regular,10.65030324889905,200,1000→1850
FCz,method_19_counter,6,5,5,4,4,2,2,19,counter,10.65030324889905,200,1850→1000
FCz,method_19,1,1,1,0,0,0,0,19,regular,10.65030324889905,200,1000→1850
FCz,method_20_counter,7,6,5,4,4,3,1,20,counter,10.65030324889905,500,1850→1000
FCz,method_20,6,6,6,6,4,2,1,20,regular,10.65030324889905,500,1000→1850
FCz,method_21_counter,7,6,4,4,4,3,1,21,counter,10.65030324889905,500,1850→1000
FCz,method_21,6,6,6,6,4,2,1,21,regular,10.65030324889905,500,1000→1850
FCz,method_27_counter,4,2,1,1,0,0,0,27,counter,1.0739778100692317,900,1064→1000
FCz,method_27,4,4,3,2,2,1,0,27,regular,1.0739778100692317,900,1000→1064
FCz,method_28_counter,6,6,6,3,3,1,1,28,counter,3.1564128700055254,350,1200→1000
FCz,method_28,6,3,3,3,3,3,1,28,regular,3.1564128700055254,350,1000→1200
FCz,method_29_counter,6,6,6,3,3,1,1,29,counter,3.1564128700055254,350,1200→1000
FCz,method_29,6,4,3,3,3,3,1,29,regular,3.1564128700055254,350,1000→1200
FCz,method_30_counter,6,6,6,3,3,1,1,30,counter,3.1564128700055254,350,1200→1000
FCz,method_30,7,4,3,3,3,3,1,30,regular,3.1564128700055254,350,1000→1200
FCz,method_31_counter,6,6,6,3,3,1,1,31,counter,3.1564128700055254,350,1200→1000
FCz,method_31,6,4,3,3,3,2,1,31,regular,3.1564128700055254,350,1000→1200
FCz,method_32_counter,6,6,6,3,3,1,1,32,counter,3.1564128700055254,350,1200→1000
FCz,method_32,6,3,3,3,3,3,1,32,regular,3.1564128700055254,350,1000→1200
FCz,method_33_counter,7,4,3,3,2,2,2,33,counter,3.1564128700055254,600,1200→1000
FCz,method_33,6,6,4,2,1,1,0,33,regular,3.1564128700055254,600,1000→1200
FCz,method_37_counter,5,2,1,1,0,0,0,37,counter,0.8446719346967759,310,1050→1000
FCz,method_37,4,4,1,1,1,0,0,37,regular,0.8446719346967759,310,1000→1050
FCz,method_43_counter,6,4,2,0,0,0,0,43,counter,1.74179306884785,510,700→633
FCz,method_43,5,4,2,2,2,1,1,43,regular,1.74179306884785,510,633→700
FCz,method_44_counter,6,6,5,3,3,3,2,44,counter,7.916671142804949,510,1000→633
FCz,method_44,4,3,3,3,2,1,0,44,regular,7.916671142804949,510,633→1000
FCz,method_53_counter,6,6,6,5,3,3,2,53,counter,3.1564128700055254,333,1200→1000
