site,stat,value,p,extra
frontal,kendall_W_7,0.2661125240369704,0.0001999600079984003,null_mean=0.142
frontal,kendall_W_6_no_wlarge,0.3033724127949052,0.0001999600079984003,
frontal,kendall_W_5_whisper,0.3694659140251845,0.0001999600079984003,
frontal,kendall_W_null_p95,0.18931894512038425,,
FCz,kendall_W_7,0.24499100552074934,0.0005998800239952009,null_mean=0.142
FCz,kendall_W_6_no_wlarge,0.23719665171032953,0.015796840631873626,
FCz,kendall_W_5_whisper,0.3196526270082501,0.0011997600479904018,
FCz,kendall_W_null_p95,0.1899545402181715,,
frontal,spearman_all_pairs_mean,0.14379794470979884,,min=-0.199;max=0.525;n=21
frontal,spearman_within-whisper_mean,0.21183239253148067,,min=-0.026;max=0.525;n=10
frontal,spearman_whisper↔wav2vec2_mean,0.11006296135475466,,min=-0.174;max=0.364;n=10
frontal,spearman_within-wav2vec2_mean,-0.19919669995657838,,min=-0.199;max=-0.199;n=1
FCz,spearman_all_pairs_mean,0.1191561731075409,,min=-0.261;max=0.556;n=21
FCz,spearman_within-whisper_mean,0.14956578376031265,,min=-0.261;max=0.556;n=10
FCz,spearman_whisper↔wav2vec2_mean,0.12225358228397742,,min=-0.234;max=0.499;n=10
FCz,spearman_within-wav2vec2_mean,-0.2159140251845419,,min=-0.216;max=-0.216;n=1
frontal,fleiss_kappa_S2,-0.0012771392081737207,0.251749650069986,base_rate=0.777
frontal,unanimous_S2,10.0,0.08698260347930414,null_mean=6.92
frontal,fleiss_kappa_S7@0.5,0.07725723701456723,0.0023995200959808036,base_rate=0.616
frontal,unanimous_S7@0.5,3.0,0.11577684463107378,null_mean=1.25
FCz,fleiss_kappa_S2,0.13685888918416175,0.0001999600079984003,base_rate=0.789
FCz,unanimous_S2,9.0,0.5348930213957208,null_mean=8.66
FCz,fleiss_kappa_S7@0.5,0.12102272727272712,0.0003999200159968006,base_rate=0.524
FCz,unanimous_S7@0.5,2.0,0.14077184563087383,null_mean=0.68
both,top6_overlap,2.0,,/6
both,bottom6_overlap,3.0,,/6
both,top12_overlap,6.0,,/12
both,bottom12_overlap,8.0,,/12
both,frontal_vs_fcz_meanrank_rho,0.5954397402911432,8.035904548752995e-06,n=48
frontal,kendall_W_316st_block,0.12653061224489795,0.6184763047390522,n=20;null_mean=0.142;null_p95=0.217
frontal,kendall_W_316st_block_no_wlarge,0.10827067669172932,0.878624275144971,n=20
frontal,kendall_W_deviance_residualised,0.2733568459950198,0.0001999600079984003,n=48
FCz,kendall_W_316st_block,0.15464170630658278,0.36112777444511096,n=20;null_mean=0.143;null_p95=0.217
FCz,kendall_W_316st_block_no_wlarge,0.18145363408521303,0.36372725454909016,n=20
FCz,kendall_W_deviance_residualised,0.19879128377360497,0.03059388122375525,n=48
frontal,dir_rho_whisper-tiny,-0.38608695652173913,0.06239715956765034,n=24 methods
FCz,dir_rho_whisper-tiny,-0.2869565217391304,0.17397424190366442,n=24 methods
frontal,dir_rho_whisper-base,-0.368695652173913,0.07624968847908253,n=24 methods
FCz,dir_rho_whisper-base,0.13043478260869562,0.5435259752175852,n=24 methods
frontal,dir_rho_whisper-small,-0.38608695652173913,0.06239715956765034,n=24 methods
FCz,dir_rho_whisper-small,-0.32956521739130434,0.11580045288804075,n=24 methods
frontal,dir_rho_whisper-medium,-0.19043478260869565,0.3727527778427131,n=24 methods
FCz,dir_rho_whisper-medium,-0.1469565217391304,0.493193122110666,n=24 methods
frontal,dir_rho_whisper-large,0.014782608695652172,0.9453421257736343,n=24 methods
