site,method,mean_pct,sd_pct,n_s2,method_id,dirn,st,soa,hz
frontal,method_53,72.64437689969604,16.862225484800152,5,53,regular,3.1564128700055254,333,1000→1200
frontal,method_18_counter,72.64437689969604,35.928028828661894,5,18,counter,10.65030324889905,200,1850→1000
frontal,method_19_counter,71.42857142857143,35.81083760569335,5,19,counter,10.65030324889905,200,1850→1000
frontal,method_17_counter,69.90881458966567,36.304061303139555,5,17,counter,10.65030324889905,200,1850→1000
frontal,method_55_counter,69.6048632218845,30.77673329121033,6,55,counter,12.0,500,2000→1000
frontal,method_10_counter,68.9969604863222,29.195157815344974,7,10,counter,1.9928721113604713,300,1122→1000
frontal,method_60_counter,67.17325227963525,42.53292323791926,5,60,counter,7.019550008653875,300,1500→1000
frontal,method_32,63.829787234042556,27.10853170725729,6,32,regular,3.1564128700055254,350,1000→1200
frontal,method_31,62.61398176291794,27.873075158339994,6,31,regular,3.1564128700055254,350,1000→1200
frontal,method_30,62.006079027355625,21.712852704785394,5,30,regular,3.1564128700055254,350,1000→1200
frontal,method_28,62.006079027355625,29.99996407192083,5,28,regular,3.1564128700055254,350,1000→1200
frontal,method_29,61.702127659574465,25.64984584400727,6,29,regular,3.1564128700055254,350,1000→1200
frontal,method_53_counter,61.09422492401216,30.629290581870208,6,53,counter,3.1564128700055254,333,1200→1000
frontal,method_33,61.09422492401216,33.454907743732775,7,33,regular,3.1564128700055254,600,1000→1200
frontal,method_10,58.35866261398177,20.623199231634093,6,10,regular,1.9928721113604713,300,1000→1122
frontal,method_21_counter,55.319148936170215,27.080685236931604,6,21,counter,10.65030324889905,500,1850→1000
frontal,method_74_counter,55.319148936170215,31.938525529638873,3,74,counter,7.019550008653875,1000,1500→1000
frontal,method_44_counter,55.31914893617021,33.99819805448762,5,44,counter,7.916671142804949,510,1000→633
frontal,method_20_counter,54.7112462006079,28.905759095364722,6,20,counter,10.65030324889905,500,1850→1000
frontal,method_60,54.1033434650456,36.58207609774025,5,60,regular,7.019550008653875,300,1000→1500
frontal,method_20,53.799392097264445,28.72246611849338,4,20,regular,10.65030324889905,500,1000→1850
frontal,method_72,52.58358662613981,33.43234771475169,6,72,regular,3.1564128700055254,500,1000→1200
frontal,method_37,51.97568389057751,26.169842090932594,4,37,regular,0.8446719346967759,310,1000→1050
frontal,method_09_counter,51.671732522796354,33.477452569801066,6,9,counter,8.843587129994475,630,1000→600
frontal,method_12,51.67173252279635,28.058075475480955,6,12,regular,3.1564128700055254,400,1000→1200
frontal,method_75,51.67173252279635,33.791500831803845,6,75,regular,3.1564128700055254,500,1000→1200
frontal,method_21,51.06382978723404,30.95482672736907,4,21,regular,10.65030324889905,500,1000→1850
frontal,method_28_counter,50.45592705167173,19.94841263391086,7,28,counter,3.1564128700055254,350,1200→1000
frontal,method_33_counter,49.24012158054711,25.33697957968698,5,33,counter,3.1564128700055254,600,1200→1000
frontal,method_31_counter,48.93617021276596,19.06997114857979,7,31,counter,3.1564128700055254,350,1200→1000
frontal,method_30_counter,48.93617021276595,16.93239203732386,7,30,counter,3.1564128700055254,350,1200→1000
frontal,method_29_counter,48.0243161094225,16.150470537799777,7,29,counter,3.1564128700055254,350,1200→1000
frontal,method_32_counter,47.112462006079035,18.071691788686625,7,32,counter,3.1564128700055254,350,1200→1000
