model,mapping,method,is_counter,roi_kind,roi,s2,trough_uv,min_uv,dip_uv_threshold,s7
wav2vec2-large,mtrf,method_09,False,electrode,Fz,True,-1.05943,-1.05943,0.25,True
wav2vec2-large,mtrf,method_09,False,electrode,Fz,True,-1.05943,-1.05943,0.5,True
wav2vec2-large,mtrf,method_09,False,electrode,Fz,True,-1.05943,-1.05943,0.75,True
wav2vec2-large,mtrf,method_09,False,electrode,Fz,True,-1.05943,-1.05943,1.0,True
wav2vec2-large,mtrf,method_09,False,electrode,Fz,True,-1.05943,-1.05943,1.5,False
wav2vec2-large,mtrf,method_09,False,electrode,Fz,True,-1.05943,-1.05943,2.0,False
wav2vec2-large,mtrf,method_09,False,electrode,Fz,True,-1.05943,-1.05943,2.5,False
wav2vec2-large,mtrf,method_09,False,electrode,F3,True,-8.82872,-8.82872,0.25,True
wav2vec2-large,mtrf,method_09,False,electrode,F3,True,-8.82872,-8.82872,0.5,True
wav2vec2-large,mtrf,method_09,False,electrode,F3,True,-8.82872,-8.82872,0.75,True
wav2vec2-large,mtrf,method_09,False,electrode,F3,True,-8.82872,-8.82872,1.0,True
wav2vec2-large,mtrf,method_09,False,electrode,F3,True,-8.82872,-8.82872,1.5,True
wav2vec2-large,mtrf,method_09,False,electrode,F3,True,-8.82872,-8.82872,2.0,True
wav2vec2-large,mtrf,method_09,False,electrode,F3,True,-8.82872,-8.82872,2.5,True
wav2vec2-large,mtrf,method_09,False,electrode,F4,True,-10.22663,-10.22663,0.25,True
wav2vec2-large,mtrf,method_09,False,electrode,F4,True,-10.22663,-10.22663,0.5,True
wav2vec2-large,mtrf,method_09,False,electrode,F4,True,-10.22663,-10.22663,0.75,True
wav2vec2-large,mtrf,method_09,False,electrode,F4,True,-10.22663,-10.22663,1.0,True
wav2vec2-large,mtrf,method_09,False,electrode,F4,True,-10.22663,-10.22663,1.5,True
wav2vec2-large,mtrf,method_09,False,electrode,F4,True,-10.22663,-10.22663,2.0,True
wav2vec2-large,mtrf,method_09,False,electrode,F4,True,-10.22663,-10.22663,2.5,True
wav2vec2-large,mtrf,method_09,False,electrode,FCz,True,-2.72789,-2.72789,0.25,True
wav2vec2-large,mtrf,method_09,False,electrode,FCz,True,-2.72789,-2.72789,0.5,True
wav2vec2-large,mtrf,method_09,False,electrode,FCz,True,-2.72789,-2.72789,0.75,True
wav2vec2-large,mtrf,method_09,False,electrode,FCz,True,-2.72789,-2.72789,1.0,True
wav2vec2-large,mtrf,method_09,False,electrode,FCz,True,-2.72789,-2.72789,1.5,True
wav2vec2-large,mtrf,method_09,False,electrode,FCz,True,-2.72789,-2.72789,2.0,True
wav2vec2-large,mtrf,method_09,False,electrode,FCz,True,-2.72789,-2.72789,2.5,True
wav2vec2-large,mtrf,method_09,False,electrode,Cz,True,-1.53758,-1.53758,0.25,True
wav2vec2-large,mtrf,method_09,False,electrode,Cz,True,-1.53758,-1.53758,0.5,True
wav2vec2-large,mtrf,method_09,False,electrode,Cz,True,-1.53758,-1.53758,0.75,True
wav2vec2-large,mtrf,method_09,False,electrode,Cz,True,-1.53758,-1.53758,1.0,True
wav2vec2-large,mtrf,method_09,False,electrode,Cz,True,-1.53758,-1.53758,1.5,True
wav2vec2-large,mtrf,method_09,False,electrode,Cz,True,-1.53758,-1.53758,2.0,False
wav2vec2-large,mtrf,method_09,False,electrode,Cz,True,-1.53758,-1.53758,2.5,False
wav2vec2-large,mtrf,method_09,False,electrode,C3,True,-2.8122,-2.8122,0.25,True
wav2vec2-large,mtrf,method_09,False,electrode,C3,True,-2.8122,-2.8122,0.5,True
wav2vec2-large,mtrf,method_09,False,electrode,C3,True,-2.8122,-2.8122,0.75,True
wav2vec2-large,mtrf,method_09,False,electrode,C3,True,-2.8122,-2.8122,1.0,True
wav2vec2-large,mtrf,method_09,False,electrode,C3,True,-2.8122,-2.8122,1.5,True
wav2vec2-large,mtrf,method_09,False,electrode,C3,True,-2.8122,-2.8122,2.0,True
wav2vec2-large,mtrf,method_09,False,electrode,C3,True,-2.8122,-2.8122,2.5,True
wav2vec2-large,mtrf,method_09,False,electrode,C4,True,-4.99467,-4.99467,0.25,True
wav2vec2-large,mtrf,method_09,False,electrode,C4,True,-4.99467,-4.99467,0.5,True
wav2vec2-large,mtrf,method_09,False,electrode,C4,True,-4.99467,-4.99467,0.75,True
wav2vec2-large,mtrf,method_09,False,electrode,C4,True,-4.99467,-4.99467,1.0,True
wav2vec2-large,mtrf,method_09,False,electrode,C4,True,-4.99467,-4.99467,1.5,True
wav2vec2-large,mtrf,method_09,False,electrode,C4,True,-4.99467,-4.99467,2.0,True
wav2vec2-large,mtrf,method_09,False,electrode,C4,True,-4.99467,-4.99467,2.5,True
wav2vec2-large,mtrf,method_09_counter,True,electrode,Fz,False,2.24941,1.4427,0.25,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Fz,False,2.24941,1.4427,0.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Fz,False,2.24941,1.4427,0.75,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Fz,False,2.24941,1.4427,1.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Fz,False,2.24941,1.4427,1.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Fz,False,2.24941,1.4427,2.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Fz,False,2.24941,1.4427,2.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F3,False,1.36255,1.36255,0.25,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F3,False,1.36255,1.36255,0.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F3,False,1.36255,1.36255,0.75,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F3,False,1.36255,1.36255,1.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F3,False,1.36255,1.36255,1.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F3,False,1.36255,1.36255,2.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F3,False,1.36255,1.36255,2.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F4,False,1.19585,1.19585,0.25,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F4,False,1.19585,1.19585,0.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F4,False,1.19585,1.19585,0.75,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F4,False,1.19585,1.19585,1.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F4,False,1.19585,1.19585,1.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F4,False,1.19585,1.19585,2.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,F4,False,1.19585,1.19585,2.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,FCz,False,3.67369,2.71929,0.25,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,FCz,False,3.67369,2.71929,0.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,FCz,False,3.67369,2.71929,0.75,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,FCz,False,3.67369,2.71929,1.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,FCz,False,3.67369,2.71929,1.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,FCz,False,3.67369,2.71929,2.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,FCz,False,3.67369,2.71929,2.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Cz,False,-0.57991,-1.3167,0.25,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Cz,False,-0.57991,-1.3167,0.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Cz,False,-0.57991,-1.3167,0.75,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Cz,False,-0.57991,-1.3167,1.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Cz,False,-0.57991,-1.3167,1.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Cz,False,-0.57991,-1.3167,2.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,Cz,False,-0.57991,-1.3167,2.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C3,False,2.99257,2.39659,0.25,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C3,False,2.99257,2.39659,0.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C3,False,2.99257,2.39659,0.75,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C3,False,2.99257,2.39659,1.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C3,False,2.99257,2.39659,1.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C3,False,2.99257,2.39659,2.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C3,False,2.99257,2.39659,2.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C4,False,2.76645,2.76645,0.25,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C4,False,2.76645,2.76645,0.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C4,False,2.76645,2.76645,0.75,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C4,False,2.76645,2.76645,1.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C4,False,2.76645,2.76645,1.5,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C4,False,2.76645,2.76645,2.0,False
wav2vec2-large,mtrf,method_09_counter,True,electrode,C4,False,2.76645,2.76645,2.5,False
wav2vec2-large,mtrf,method_10,False,electrode,Fz,True,0.2292,0.2292,0.25,False
wav2vec2-large,mtrf,method_10,False,electrode,Fz,True,0.2292,0.2292,0.5,False
wav2vec2-large,mtrf,method_10,False,electrode,Fz,True,0.2292,0.2292,0.75,False
wav2vec2-large,mtrf,method_10,False,electrode,Fz,True,0.2292,0.2292,1.0,False
wav2vec2-large,mtrf,method_10,False,electrode,Fz,True,0.2292,0.2292,1.5,False
wav2vec2-large,mtrf,method_10,False,electrode,Fz,True,0.2292,0.2292,2.0,False
wav2vec2-large,mtrf,method_10,False,electrode,Fz,True,0.2292,0.2292,2.5,False
wav2vec2-large,mtrf,method_10,False,electrode,F3,True,0.69527,0.28357,0.25,False
wav2vec2-large,mtrf,method_10,False,electrode,F3,True,0.69527,0.28357,0.5,False
wav2vec2-large,mtrf,method_10,False,electrode,F3,True,0.69527,0.28357,0.75,False
wav2vec2-large,mtrf,method_10,False,electrode,F3,True,0.69527,0.28357,1.0,False
wav2vec2-large,mtrf,method_10,False,electrode,F3,True,0.69527,0.28357,1.5,False
